Trigram,polish,czech
"dý,1,2
żyj,251,1
6 p,5,1
g-p,2,2
rov,1,452
cag,17,4
2 4,2,1
yn ,102,41
v p,1,469
ačí,1,167
jdé,1,2
pał,310,1
0sz,2,1
lís,1,34
dby,40,17
ż a,26,1
nět,1,86
č s,1,167
: o,8,3
tzr,2,1
hná,1,3
ebk,35,3
elž,1,19
ece,163,63
 zs,32,1
140,3,1
pšt,1,9
dké,1,7
bý ,1,6
móż,36,1
kąc,8,1
u ż,38,1
hoc,44,12
í d,1,514
‘ p,1,2
"a ,88,18
ebl,30,4
 ek,137,12
ěký,1,21
cir,1,2
irf,1,2
k č,1,76
ędę,386,1
ali,2007,938
"at,3,4
ętu,19,1
sfé,1,9
tná,1,154
nhu,3,1
 18,30,13
ffl,5,1
go),3,1
efi,16,9
b"",3,1
"żm,2,1
v b,1,221
aně,1,165
íšn,1,14
zaż,41,1
e'g,2,1
fom,1,6
bez,968,428
rli,59,15
2-5,2,1
lol,3,1
 » ,2,1
"šk,1,14
yře,1,62
twę,5,1
60 ,14,3
awa,854,5
udł,24,1
tóy,2,1
dt ,3,1
 32,4,3
woł,167,1
ftą,2,1
ube,63,30
rén,2,16
yně,1,58
 ón,2,1
čně,1,192
znó,77,1
"js,1,454
ażk,51,1
iml,1,37
 ps,400,321
ę t,4,1
ámc,1,2
"bo,70,66
han,205,29
ślo,28,1
sąs,104,1
hos,8,55
vuj,1,99
arý,1,108
rąb,16,1
 z ,5343,886
2 r,6,1
muh,1,9
rde,91,23
mis,153,34
xow,3,1
rny,154,11
elý,1,108
yš ,1,4
ěhu,1,38
říb,1,100
enk,306,223
rsi,59,10
ōan,2,1
mu",1,2
 ži,1,2
ýla,1,3
pef,1,2
zuř,1,14
rzd,2,4
kté,1,3
"že,1,19
ldů,1,2
"zr,171,13
zoz,24,6
ć w,4,1
ém ,4,389
 cv,2,14
obł,10,1
ízl,1,22
sya,1,4
tíc,1,4
dku,369,136
emy,1324,97
taw,810,2
alb,140,11
gęb,7,1
ał",3,1
hs’,2,1
můž,1,1117
mna,134,4
yla,93,508
ć ś,101,1
éne,1,12
žus,1,8
unw,2,1
orr,12,1
wją,2,1
tvé,1,128
hoh,1,8
dze,1187,2
 ah,1,2
zą/,2,1
rku,268,108
kvé,1,3
rem,603,108
udw,3,2
eil,6,1
épj,1,2
jun,8,3
 (",2,1
ačo,1,42
rz ,457,12
bož,1,41
hle,103,1456
ręć,19,1
nem,451,2661
bkó,4,1
tna,142,56
yją,214,1
šeh,1,45
hti,2,7
y"i,2,1
mło,420,1
mew,8,1
gem,2,4
blé,1,277
ešk,1,51
969,4,1
kel,28,5
n t,274,152
adn,690,222
óbk,14,1
n)t,2,1
sáz,1,13
éma,1,25
zÿc,3,1
ny),2,1
vyg,1,2
eby,998,394
ćw ,2,1
ł 1,14,1
mát,1,229
 úv,1,11
měs,1,425
ove,8,119
yřk,1,2
iak,101,2
ótn,15,1
bii,13,3
t ł,114,1
" w,9,1
dęb,8,1
876,2,2
ěni,1,139
ožr,1,10
rb ,4,1
těk,1,29
zgó,36,1
ář ,1,25
ulé,1,18
ś"l,2,1
av ,1,37
mi',3,2
vy',2,1
łap,219,1
bąb,2,1
zdř,1,7
ć m,3,1
ůso,1,109
ánš,1,4
ain,134,4
-tr,8,1
śln,12,1
šro,1,9
 zo,1809,85
 ap,127,7
zap,1506,512
gau,2,10
mya,3,1
up ,27,37
pát,1,191
ybň,1,2
105,2,1
492,2,1
ćma,2,1
kıv,2,1
alı,2,1
míc,1,30
nís,1,19
i ř,1,274
lwa,18,1
unz,2,1
ąby,3,1
dcz,297,1
nbu,2,1
zze,6,1
5on,2,1
nva,1,3
ozm,735,42
ęzy,497,1
ęsc,2,1
rik,12,48
rá ,1,153
rvó,1,23
ákl,1,41
mio,167,5
onw,7,1
 88,2,2
jpa,5,2
wsl,2,1
'el,2,1
pyn,2,1
961,3,1
hoř,1,60
sít,1,71
0 z,8,2
e‘ ,1,2
sý ,1,2
e d,2404,1473
jez,120,168
wcó,25,1
ołę,47,1
f d,2,1
ubł,2,1
wje,12,1
sz;,2,1
ě v,1,352
 ká,1,117
aža,1,4
fię,99,1
8té,1,2
kis,9,1
ňce,1,3
złu,8,1
lnu,19,4
átk,1,131
-li,1,33
dér,1,2
dła,190,1
úvo,1,2
 rż,5,1
áli,1,206
epł,116,1
nd ,40,22
lgr,3,1
żca,2,1
rzó,12,1
rła,72,1
lý ,1,287
ocu,10,2
y a,213,153
 żn,5,1
ž ž,1,20
zvý,1,19
ibt,1,3
l l,8,73
zig,28,5
loz,25,23
ż 1,12,1
ž t,1,298
dí ,1,397
 ‚n,1,2
emk,22,9
c++,4,1
é č,1,38
é ž,1,40
mós,2,1
óca,2,1
krý,1,33
oší,1,7
'cl,2,1
yśw,11,1
zml,1,18
fuk,3,22
ksj,4,1
úmr,1,2
mpr,155,3
"pi,129,24
t h,40,124
eyo,2,1
eał,9,1
iqu,2,2
sha,12,7
ěmi,1,20
até,1,38
czi,14,1
xii,2,1
nní,1,42
olo,549,243
tlý,1,2
2 h,1,2
výř,1,2
ned,5,772
wół,2,1
émn,1,6
wgo,2,1
obb,49,3
w g,277,1
„by,2,2
"ło,2,1
d j,250,155
 : ,2,1
op-,2,1
fír,1,2
aoč,1,3
ířk,1,3
řím,1,235
hać,399,1
iłk,246,1
vrá,1,297
00€,2,1
tih,1,39
i'',1,2
uřa,1,3
o ‚,1,3
@"",2,1
ymi,566,4
aab,2,1
pió,24,5
p u,2,1
"mů,1,227
rsz,411,1
b e,2,2
íz ,1,2
ápo,1,28
nri,2,2
"dn,1,61
jki,46,1
yjk,12,1
słó,90,1
š g,1,2
poń,282,1
ólc,7,1
ct ,1,149
- s,7,2
ači,1,34
h h,7,34
 od,3532,1359
nea,2,6
líš,1,189
nšt,1,32
ž ó,1,2
aka,714,91
zef,91,1
mel,46,19
p18,2,1
 čí,1,192
tod,46,11
nků,1,3
inf,145,51
g j,44,5
íce,1,203
a ś,2,1
ňuč,1,2
11 ,11,2
łpr,34,1
mcm,1,2
yc ,41,1
 (a,2,1
epé,1,5
ci ,2278,1191
-ty,2,1
 ca,2,1
bší,1,7
štr,1,6
n a,64,51
"kł,10,1
ěčí,1,19
ąża,27,1
'ko,1,2
łor,23,1
gou,1,2
tic,1,133
 10,207,17
yrz,96,1
zvl,1,126
diá,1,4
ńco,13,1
zíš,1,22
ask,281,45
„kw,2,1
ílí,1,12
ź c,29,1
got,556,2
" p,8,2
bás,1,34
uxu,1,3
ilb,1,5
"gr,46,3
unů,1,3
né ,1,732
ężo,10,1
ółz,3,1
ýst,1,18
d z,164,80
ůdc,1,6
zbě,1,4
ýzn,1,23
omó,492,5
 bh,3,1
zed,1948,3
vul,1,2
aśw,7,1
dom,1977,744
łan,142,1
l b,39,676
onb,1,4
evě,1,336
číl,1,9
urr,8,1
ż ż,26,1
rwę,25,1
šít,1,15
opą,2,1
lfk,2,1
íbo,1,2
vce,1,62
 za,9723,2904
do ,5710,2590
y 8,3,1
śró,78,1
 f(,2,1
řni,1,6
ży ,449,1
pis,1135,251
"my,746,536
 "",289,144
r i,27,1
ier,3402,3
ue ,7,1
ćoj,2,1
vby,1,4
mi:,5,1
f p,7,3
rný,1,86
ngę,5,1
o ó,35,1
éky,1,18
wśr,49,1
usg,2,1
łwi,26,1
věř,1,435
óní,1,2
nku,256,156
źcy,8,1
gyi,2,1
“"p,1,2
nja,8,1
pau,25,16
vůz,1,4
rsc,3,2
yme,42,3
ódc,19,1
efy,4,1
utý,1,27
á h,1,127
vér,1,2
elb,196,10
opn,162,43
 ga,437,43
ekc,173,10
ta”,4,1
cle,7,3
ylę,18,1
rnp,2,1
ič ,1,23
źć ,136,1
zgl,76,1
ó ô,2,1
hid,8,2
hém,1,15
š ú,1,7
d š,1,21
žér,1,2
kan,696,140
elf,20,9
tgo,2,1
klé,1,6
enž,1,5
nug,1,2
iża,108,1
o č,1,189
obj,38,94
kna,172,48
0- ,2,1
max,1,5
(na,2,2
ius,60,14
uac,110,58
sba,2,10
víš,1,245
bor,130,99
zaú,1,7
kój,251,1
óte,2,1
27 ,4,1
ňuj,1,61
"ir,7,2
coh,3,1
urę,105,1
osc,16,6
kuć,4,1
ünt,2,1
j ź,2,1
írů,1,3
kra,733,278
jań,11,1
o 1,87,8
dy",4,1
róz,7,1
yły,241,1
hłó,3,1
ý z,1,107
ión,4,15
żmu,2,1
ytý,1,2
€30,2,1
ygw,2,1
ótu,1,3
sep,3,6
ůčk,1,2
rgu,23,5
uol,5,1
tęs,94,1
jsu,5,1
yrę,2,1
jlé,1,10
ind,131,34
ozš,1,14
użn,4,1
kr ,1,9
eál,1,16
ydm,2,1
łeb,13,1
lfi,16,1
wzó,4,1
jan,263,20
ekę,41,1
drą,7,1
d l,53,27
via,2,3
zbý,1,29
k c,257,53
laś,2,1
tai,4,18
on:,3,1
pia,235,9
5 f,3,1
e d,2,1
nčo,1,8
pý ,1,8
xan,2,2
zeh,1,2
vět,1,794
zlo,10,210
suł,66,1
dsy,2,1
čis,1,52
mta,21,8
888,3,1
el:,1,2
48 ,3,2
ouž,1,178
rně,1,121
inš,1,7
urd,26,11
- l,3,1
an”,2,1
dli,200,163
15-,2,1
tló,2,1
lnę,4,1
dže,1,8
iťo,1,2
”zn,2,1
ł d,875,1
50-,2,1
yly,2,100
máj,1,9
lfy,2,1
kce,197,18
zon,1042,2
t ž,1,54
ral,400,185
jaź,66,1
ojí,1,502
ším,1,233
dki,202,1
ka),2,1
ty”,4,1
diz,3,1
uži,1,141
sof,12,8
moč,1,23
áš;,1,2
ł p,1225,1
uk ,20,49
pok,1339,679
 řa,1,20
pró,624,1
 śp,350,1
drż,18,1
 'c,2,1
‘ n,1,2
nca,2,1
tev,8,194
růk,1,15
tpi,54,1
nąć,271,1
y-e,2,1
zié,4,1
óbu,193,1
j c,457,9
aig,2,1
ni:,2,2
ro-,2,1
ś e,15,1
300,11,2
 +4,3,1
z u,207,10
ć ł,24,1
use,78,432
gii,68,21
gy ,2,10
weł,19,1
opp,2,1
ě ř,1,50
důk,1,28
šis,1,2
 hý,1,3
gri,15,2
wdo,165,1
raś,7,1
fa",2,1
íšť,1,6
le:,1,2
itř,1,68
ěšo,1,3
inž,1,5
cyt,61,1
yzj,124,1
sas,12,3
- я,1,3
uvk,1,9
kil,418,18
"až,1,25
oml,6,185
zsr,3,1
tłe,8,1
"ně,1,102
ivd,1,2
xyl,1,2
php,4,1
ýme,1,2
 mł,384,1
ůjc,1,2
 já,1,286
ccy,4,1
żoł,79,1
ejé,2,1
ček,1,513
big,5,1
ávk,1,54
rso,17,3
kmo,1,2
mru,19,1
ng-,2,2
ré ,1,316
nic,2031,938
"pł,18,1
e/r,2,1
íbi,1,227
ářc,1,2
bow,566,1
ol",2,1
ěho,1,84
ť o,1,4
hś ,11,1
łto,22,1
ívá,1,225
yhu,1,2
wyg,933,1
 br,1059,639
chn,391,884
šův,1,2
pím,1,54
líz,1,78
okw,5,1
 db,23,1
ybs,19,1
arv,15,65
aml,11,16
mur,98,1
ubą,3,1
 šl,1,61
rgr,3,1
„ha,3,1
my),2,1
yru,46,9
dyp,13,1
-zł,2,1
emł,2,1
ezn,84,207
ójk,33,1
mci,5,8
u ú,1,17
ork,146,111
úsv,1,2
ěžk,1,183
3 m,8,1
 90,11,1
"gd,391,1
 rý,1,26
d i,54,5
ažt,1,15
zna,2813,327
i 1,19,5
jcę,2,1
eož,1,5
uwa,747,1
dwł,2,1
poh,1,194
rp ,4,3
 bě,1,101
mko,12,18
zty,46,1
ed',1,2
ypí,1,11
ánč,1,2
nuš,1,5
yć",2,1
ánb,1,2
upl,3,36
7°c,2,1
ceg,142,2
e-t,2,1
é ř,1,31
 pk,4,2
éfo,1,8
"ab,26,17
šák,1,7
mné,1,25
m „,7,2
gni,308,1
0:4,3,1
ň h,1,5
wpu,17,1
bim,83,1
vyj,1,51
lži,1,14
pyc,15,7
śłu,2,1
– z,3,1
e a,221,403
sęd,20,1
řák,1,8
apy,232,5
gop,64,2
tec,298,269
jęz,496,1
ż ś,17,1
ot",2,1
dgó,2,1
oxt,1,2
aas,1,2
edż,11,1
óbo,329,1
y"",17,3
 út,1,43
óbl,2,1
vpř,1,3
ill,118,16
poz,1049,581
-34,2,1
sma,181,16
195,13,4
„pt,2,1
ř a,1,5
occ,1,2
rąś,3,1
oký,1,33
vaj,1,145
r š,1,5
 km,8,3
żar,234,1
 iś,527,1
"żó,2,1
gąb,17,1
duc,71,98
żel,94,1
bče,1,8
áde,1,76
žpa,1,29
syn,266,155
zpł,22,1
slz,1,15
imo,165,30
 cí,1,132
/ w,2,1
ver,17,83
"wu,8,1
w c,438,1
 to,5,1
łag,57,1
éha,1,24
iu ,679,7
 sc,172,243
byt,506,146
iču,1,3
 ae,3,1
ną;,2,1
"śm,14,1
rtý,1,4
dpo,655,422
ětš,1,139
káp,1,2
yhl,1,88
óm ,3,1
ncí,1,7
ś o,2,1
euk,2,16
otě,1,100
mmu,2,1
vam,2,3
špí,1,2
eht,1,10
ásc,1,6
goj,3,1
jčk,1,5
-am,3,1
krk,1,25
oťa,1,4
cer,229,133
naś,146,1
kub,43,8
9 g,2,1
yge,3,1
álu,1,13
jua,6,2
a' ,2,1
žka,1,31
ylé,1,11
epí,1,10
 85,3,3
yte,201,42
"wł,75,1
v n,1,290
é; ,1,2
gne,23,4
los,50,131
ź t,115,1
aaa,5,1
ś i,115,1
drů,1,2
ą) ,2,1
abk,3,4
ywą,8,1
esc,10,11
sně,1,289
ytv,1,19
apm,3,1
s y,2,1
unc,47,85
zał,1207,1
c r,25,44
ę ź,13,1
-ws,3,1
lai,4,2
jig,2,1
epč,1,4
hcą,88,1
ę ć,4,1
cil,83,6
seď,1,3
"to,3589,3218
y w,2457,1
ooz,2,1
čít,1,179
uhl,1,210
ptá,1,129
osę,30,1
żół,90,1
ónů,1,5
kęs,2,1
akk,3,9
v e,1,19
íl ,1,26
uló,1,2
szc,2482,1
ídu,1,7
mw ,2,1
aju,162,18
važ,1,63
enj,14,1
glu,6,1
ly ,24,382
"pu,16,3
k'a,2,1
jót,1,5
dbo,2,20
byc,55,1233
ł w,1073,1
 9:,5,2
ża ,202,1
iči,1,59
rzý,1,4
„js,1,8
546,1,2
sůl,1,16
3 k,3,2
ząg,2,1
 wb,24,1
na/,2,1
ěně,1,26
čná,1,41
yź ,4,1
uhé,1,86
cy ,1405,10
że ,6875,1
żej,182,1
 xv,9,2
š j,1,129
e g,674,19
cté,1,14
á č,1,47
ď n,1,62
óro,13,1
nót,2,1
šit,1,93
swe,162,1
 z ,4,1
ło",2,1
 ké,1,2
roo,4,1
nýr,1,6
řpy,1,5
ohň,1,2
lýn,1,3
učá,1,10
8 j,2,1
kl ,6,361
niž,1,33
") ,2,1
- ř,1,2
”"n,5,1
m l,358,166
nol,45,11
mbę,5,1
jęć,26,1
ede,319,407
iph,7,2
970,6,1
plá,1,252
 fy,1,10
ído,1,5
"pě,1,3
l m,118,610
uza,47,20
yoh,2,1
wóm,3,1
emó,95,1
"dł,14,1
ití,1,54
peh,1,6
ásy,1,5
ybą,6,1
oft,5,4
gae,3,2
lín,1,39
ówą,2,1
xu ,1,2
 hn,1,112
sue,3,1
“"m,1,3
nke,5,9
íží,1,45
ážl,1,3
ęgu,8,1
ve ,9,654
mož,1,298
hmy,1,12
"lí,1,40
zyy,2,1
iat,673,7
dkę,48,1
mle,177,3
heo,5,5
 św,963,1
nkó,57,1
z f,80,15
h b,135,115
tož,1,192
ěn ,1,30
dýc,1,29
otn,317,100
dvi,1,20
nav,1,394
tuň,1,2
jl ,4,1
uz ,6,2
łkó,13,1
nfu,2,1
ćca,2,1
h z,242,133
ď m,1,58
lk ,11,7
py",2,1
bňu,1,2
óli,32,1
"do,312,347
lf ,6,4
- m,23,5
 §2,1,2
onc,101,96
nji,11,1
 zf,1,3
lpe,3,1
nhw,2,1
pus,285,231
 50,60,8
odi,20,981
wuk,19,1
rzo,130,46
ež ,1,548
dyh,1,3
vto,1,2
m $,2,1
nó ,2,1
lay,66,31
tte,15,8
azz,13,3
jur,2,1
yřč,1,3
m 1,18,4
jcó,4,1
ełe,47,1
yńc,10,1
"ce,20,46
r —,1,2
iec,3711,1
551,2,1
bcę,3,1
án ,1,108
áre,1,54
tíš,1,47
twy,81,1
łot,105,1
akd,1,2
awu,21,2
ąkł,2,1
xus,1,3
noř,1,3
láš,1,168
áj ,1,3
clo,1,6
ń u,18,1
itó,6,1
amg,3,2
iłu,8,1
"16,2,1
"he,36,19
řeh,1,41
výj,1,11
 ć ,2,1
áň ,1,2
dro,1024,88
szn,309,1
zůč,1,3
„ic,1,2
nną,39,1
941,2,2
лся,1,2
imp,197,8
k m,573,208
neu,10,502
isl,13,53
žké,1,100
gid,2,1
žer,1,18
méd,1,3
gus,19,4
o-b,7,1
inż,17,1
"a",3,1
t „,3,1
ěru,1,20
ci;,1,2
 bu,564,944
 pū,1,2
nt ,221,55
unu,5,13
"sl,2,121
duš,1,52
ucy,26,4
šív,1,3
 ér,1,3
ď u,1,19
f n,4,1
eżu,7,1
izo,153,48
uje,2146,1379
e"w,2,1
hčí,1,7
ąkó,12,1
e;b,2,1
lky,1,132
sąc,8,1
nty,230,24
ari,395,217
ytk,82,22
n h,33,38
daw,430,1
om ,7984,7937
o 6,12,1
"b ,2,1
ínu,1,30
a s,4068,1453
c c,86,16
źół,2,1
h č,1,19
tin,26,475
a —,1,3
kwy,4,1
łek,191,1
ázc,1,6
k ź,17,1
hé',2,1
otá,1,188
104,1,2
ięm,2,1
 ře,1,956
teř,1,144
ožň,1,14
hre,3,3
yuu,2,1
iné,1,125
jvů,1,3
wok,79,1
 py,374,46
mřo,1,5
akn,6,1
110,2,1
łmi,89,1
ów”,2,1
h m,185,173
dil,13,494
íln,1,5
b: ,1,2
rór,2,1
żsa,11,1
víŕ,1,2
etl,34,135
jer,33,4
iłc,5,1
ojé,3,1
rżó,2,1
raň,1,30
 bj,2,3
diž,1,3
msó,3,1
fą ,3,1
lec,473,86
mno,281,442
c# ,2,1
yda,501,19
ałw,7,1
jee,2,1
rks,2,1
šná,1,15
ym ,5240,1
uď ,1,87
ěhn,1,2
""v,3,229
-sh,4,1
czy,10380,1
pej,39,8
ípr,1,14
deá,1,11
zíd,1,2
adz,1847,4
ępo,38,1
oří,1,62
-ów,2,1
itc,2,1
eř ,1,2
ódz,7,1
 té,2,346
 ni,3,1
"ih,1,5
tim,12,21
yžd,1,2
ł r,188,1
 zł,707,1
​​s,2,1
adr,134,51
„od,2,4
c 6,2,1
liź,22,1
es',2,1
e š,1,286
iší,1,14
słe,63,1
ke',6,1
dak,16,1
－ u,3,1
obí,1,95
źwy,6,1
ů z,1,24
ě l,1,52
 24,8,2
óna,2,5
ědé,1,9
árů,1,3
ige,89,14
lbl,1,7
jiw,2,1
rzm,116,1
uiz,2,1
pęp,3,1
 ws,2331,1
z w,964,1
evy,1,161
lým,1,27
sam,2348,347
yvé,1,2
t a,129,188
ovr,1,17
nna,205,11
wcy,44,1
lzi,2,1
hte,2,25
sra,9,23
smi,72,16
bio,454,13
""o,200,55
rmę,25,1
íž ,1,24
9:1,2,2
ęła,317,1
łe ,248,1
ous,4,211
obs,130,47
lił,358,1
łos,454,1
 tu,2,1
wwo,2,1
wca,187,1
soj,13,1
 qu,7,2
mín,1,166
evš,1,37
tký,1,10
ěš ,1,6
 ri,18,34
rnf,1,2
et",3,2
ewp,2,1
"fá,1,2
“ v,1,2
on",3,1
fed,6,2
omt,1,68
śćj,2,1
iwl,2,1
tco,2,7
 ři,1,43
ýmk,1,2
nej,525,1000
"ig,4,2
3 d,6,4
ezú,1,5
we ,520,1
rud,516,14
epu,83,24
ukc,177,8
išt,1,108
 af,50,15
dżą,12,1
uml,2,8
os",2,1
nsh,2,1
vzd,1,129
ć b,324,1
věn,1,31
íry,1,8
dst,162,170
go ,8670,2
yšt,1,4
uně,1,2
 šé,1,39
opt,41,26
 tw,2,1
íže,1,61
čin,1,154
 kı,2,1
niu,1019,10
łum,257,1
'mo,2,1
opł,79,1
čny,1,3
učh,1,2
ecp,1,2
ś/w,2,1
aku,346,80
pti,2,14
cot,5,1
skę,40,1
okř,1,7
"či,1,5
ihk,1,7
991,2,1
sju,7,1
ščí,1,2
i ',2,1
ela,364,316
žeb,1,19
orą,251,1
áče,1,67
néz,1,3
żeb,949,1
ír ,1,31
kró,386,1
kta,54,8
wy”,2,1
by ,2627,1459
oňt,1,2
zęt,79,1
pką,3,1
"čt,1,13
niá,2,3
żss,2,1
dhl,1,2
933,1,2
aub,1,2
rbu,11,9
pís,1,72
l f,7,44
l ł,2,1
yž ,1,657
s š,1,26
ogó,170,1
arg,64,9
tos,141,88
očk,1,391
íka,1,232
"10,4,1
jďm,1,59
ja”,2,1
nti,4,56
děť,1,3
dot,372,57
mij,64,2
ypk,9,1
)to,3,1
eyl,6,1
ien,3755,28
ť v,2,2
4 l,10,4
try,217,48
głó,87,1
ylv,2,3
bra,1754,455
hło,472,1
iłę,13,1
šau,1,2
bił,1235,1
ebe,148,466
ebs,5,2
bir,8,1
fro,18,16
ć"",2,1
ębs,7,1
váz,1,47
dkd,1,2
ané,1,71
mšt,1,2
ć j,488,1
cyw,20,1
e 7,2,1
íru,1,54
wól,117,1
o a,547,261
5-7,2,1
x a,2,1
: k,13,3
“ta,1,2
12 ,18,4
ciś,31,1
v 8,1,3
yté,1,6
ewt,3,1
rbů,1,2
8 v,1,3
"żo,8,1
zy:,3,1
nag,257,4
b ł,2,1
cá ,1,2
)by,3,1
iu",2,1
y"o,2,1
ť ž,1,8
hae,3,3
umý,1,19
iąz,332,1
żyn,96,1
eús,1,7
nný,1,32
9 b,1,2
sio,342,7
wch,69,1
wga,3,1
ave,1,340
žab,1,2
721,2,1
ilý,1,91
iur,243,1
węs,4,1
lu",2,1
ěty,1,65
ą j,257,1
(wt,2,1
iře,1,3
)pr,2,1
fum,7,1
aum,1,2
nců,1,14
ach,1860,306
ały,1035,1
oi',2,1
huž,1,32
arc,442,22
ywó,12,1
bsł,33,1
jíč,1,17
amc,26,3
 up,328,111
tis,5,60
mro,50,1
tow,1387,4
ogg,7,2
głą,15,1
ę (,2,1
eji,3,158
alk,167,63
 iś,2,1
i d,971,848
 ôt,2,1
ážn,1,136
tro,1665,535
ékn,1,10
 (s,4,1
: „,12,6
ł ź,2,1
: g,4,1
alą,17,1
 ûc,2,1
auf,82,4
zrc,1,21
ňka,1,4
zís,1,25
utb,8,1
u"",7,6
uę ,3,1
ou",1,2
yzr,1,5
ad ,457,193
0 i,3,1
elj,1,2
vma,1,2
nla,19,1
lgą,4,1
óż ,181,1
lar,437,50
zyś,61,1
 zh,4,73
hoo,3,2
ogę,1276,1
pow,5281,1
oro,781,248
hon,33,23
8:0,2,1
nsv,1,2
ybí,1,67
vdě,1,79
hňo,1,2
uvn,1,20
unk,360,16
rže,1,93
4%),2,1
u v,1,679
lei,22,2
avk,1,19
ożs,39,1
í o,1,290
etš,1,2
wmó,3,1
aps,5,179
am),5,1
buj,755,631
cej,604,22
mow,987,1
ę b,590,1
w v,4,1
(tr,2,1
jgr,2,1
pys,42,1
aha,45,32
hru,5,48
áho,1,43
ypą,3,1
itł,6,1
ó t,2,1
xie,1,2
-su,2,1
eds,140,120
umě,1,119
 gm,5,1
fii,24,5
nan,411,59
zao,80,5
yłó,2,1
imá,1,13
 lo,384,144
huu,2,1
zme,11,34
rsy,85,1
tah,2,150
zén,1,15
płc,9,1
bbi,5,1
ěný,1,57
d „,1,2
yś:,2,1
joe,5,1
 mr,43,118
2:0,4,2
ežr,1,9
„po,12,3
so“,1,2
m q,2,1
i ď,1,4
žce,1,10
ěšá,1,5
enu,36,228
w ł,77,1
ny(,2,1
ńmy,9,1
íňc,1,3
"az,3,1
als,61,34
zlu,13,7
: c,8,2
von,1,49
 so,1139,390
jho,1,22
ł ś,102,1
/'n,2,1
lné,1,89
ažs,1,2
0-p,4,1
ęćd,38,1
ejb,17,25
oal,38,20
ąca,185,1
lňo,1,3
spł,45,1
tůj,1,5
asá,1,19
ěhy,1,8
for,308,92
tre,118,120
fén,1,2
síš,1,255
suď,1,4
sow,473,1
shl,2,16
gut,12,1
tát,1,193
álé,1,3
 pd,2,2
ušl,1,2
něh,1,57
tkę,166,1
w s,1212,1
bný,1,14
bět,1,44
íde,1,23
piá,1,9
‎by,1,2
ked,2,5
adé,1,14
o ř,1,298
bma,5,1
óc ,103,1
'od,2,1
šť ,1,23
t z,1263,335
c n,433,399
4-4,2,1
ełm,3,1
jcą,7,1
atř,1,109
lhl,1,2
odh,2,30
ášk,1,19
9 a,1,2
twi,427,5
doc,126,70
(śr,2,1
ždi,1,8
tuk,75,2
łąc,268,1
ip-,3,1
 oś,61,1
jov,1,38
yżk,38,1
"ry,12,12
svá,1,29
d n,313,234
pyk,1,3
oks,19,3
ězd,1,35
 kb,1,7
szá,2,1
kid,5,1
ůlu,1,8
jst,59,617
w t,1721,1
 pi,3844,285
mlí,1,3
žeň,1,3
kuj,510,116
lup,1,42
pły,553,1
pet,71,32
ą u,137,1
v l,1,110
"de,30,61
f) ,3,1
dář,1,8
anj,4,1
''c,1,3
úža,1,23
ś t,607,1
káš,1,50
wii,7,1
ra/,2,1
tcz,3,1
suć,6,1
"nu,6,8
lný,1,115
inz,3,2
i 6,2,2
- e,2,1
ryż,149,1
dtł,2,1
 wu,104,2
ktř,1,17
bec,222,208
ź k,15,1
ikk,5,1
seč,1,6
cvo,1,3
lów,19,1
 qi,2,1
ezi,247,145
usy,26,24
ppy,2,2
žko,1,40
hřm,1,2
szę,1865,1
ldz,6,1
ę: ,3,1
žím,1,87
lsc,21,1
umb,21,7
iaj,622,1
uso,36,37
 db,2,1
 až,1,204
uja,34,21
yże,44,1
bu ,47,90
vče,1,306
ždé,1,127
3 w,2,1
uť ,1,34
růz,1,30
xem,1,4
łów,264,1
„zm,1,2
há ,1,86
4 g,6,1
ppi,2,2
806,2,1
ń p,65,1
fał,47,1
„lu,3,1
xit,2,2
řip,1,204
tég,2,1
sát,1,96
ebý,1,16
fea,2,1
ní:,1,4
rhr,1,2
żer,52,1
32 ,3,4
y e,47,8
mpt,4,1
nay,2,1
aad,7,1
st-,4,1
zru,32,64
0 g,5,2
"iś,2,1
rcr,3,1
nh ,2,1
- i,4,1
u c,252,178
ał;,2,1
bak,19,8
tlá,2,3
gen,182,35
kki,28,1
owj,2,1
buš,1,2
‚rē,1,2
jec,692,10
pšo,1,2
nyc,859,1
své,1,736
o d,2790,1108
vřt,1,2
otą,97,1
áše,1,42
kón,1,9
„o ,4,1
ecą,19,1
ída,1,131
nsy,58,2
ši:,1,2
ne”,4,1
dóm,2,1
úva,1,10
zví,1,126
mad,47,28
rd ,16,6
ją ,4,1
eźć,169,1
wką,41,1
equ,2,2
í ú,1,47
omâ,2,1
háš,1,23
fru,6,12
z ú,1,6
miá,1,2
e"b,2,1
tmu,1,4
ácn,1,18
ż h,7,1
łoś,547,1
ě ú,1,4
guj,52,46
8 m,4,1
dhr,2,1
zyg,283,1
osh,10,4
akw,18,1
-12,2,1
ej;,2,1
keu,3,1
y q,2,1
evu,1,12
ázv,1,5
eoz,1,7
viť,1,3
rdł,14,1
ulb,2,1
sky,13,417
var,17,62
łuc,447,1
ąpy,10,1
kuu,2,1
skn,99,16
 62,3,1
mlé,1,94
rbí,1,2
lvu,1,4
jky,1,4
rmy,66,21
 we,585,18
enó,67,1
pto,55,13
ełk,81,1
s-m,2,1
ř č,1,3
ośż,2,1
zy-,2,1
uns,2,2
egu,133,4
řik,1,49
yť ,1,13
ísm,1,13
rań,128,1
jče,1,4
omf,8,2
ęt ,12,1
