Quadgram,spanish,portugese
ojaq,1,2
 a8 ,3,2
ltém,6,1
 59;,2,1
dá f,1,15
ruñó,13,1
 ojí,2,1
-ata,1,6
88 t,2,2
mpre,4234,5833
xy q,1,2
"–¡c,2,1
¡jaj,2,1
méto,117,80
ferr,68,289
uro:,2,4
ot s,8,2
5 ºf,2,1
ato;,4,3
rbuc,4,3
echa,1640,604
reho,2,1
"lis,3,6
tits,1,2
y-pe,2,1
ixa",1,2
1643,1,2
hón ,21,1
1981,5,4
y 6 ,2,1
r eq,41,10
eroí,13,25
"def,6,8
no v,1966,310
nobu,3,1
nigm,40,27
"noe,6,2
én o,16,1
—¿qu,8,1
tirí,53,8
ueri,191,2890
ngiv,3,7
ue π,2,1
dele,141,3114
; le,4,6
aura,391,424
rmã",1,3
y xv,3,1
se o,428,1222
s ¿n,2,1
11º ,1,2
k gá,1,3
ágal,26,1
b re,3,3
izas,70,16
sixt,3,1
n jo,153,7
taz ,2,10
ó os,2,14
l b ,2,1
r hu,174,108
¡end,3,1
n nº,2,1
 179,5,7
e dd,1,2
s-pr,1,6
n gi,46,1
cuen,2530,1
zam ,1,78
 han,1165,37
224 ,1,2
fe f,2,4
ço: ,1,4
vocó,51,1
te"y,2,1
fósf,18,38
vihu,3,1
05 d,2,1
xe-g,1,2
udar,1481,3266
 riu,1,80
hi é,1,6
ça é,1,176
ê oc,1,4
ilto,25,23
a às,1,247
esis,216,421
ō y ,2,1
bosq,264,68
nã: ,1,2
odou,1,9
nco",4,2
»"cu,4,1
ambú,13,26
ro à,1,63
" (",3,1
30 m,37,40
efão,1,2
plim,17,1
 spi,9,3
"ryk,1,2
 luj,65,1
 é 3,1,10
xels,1,2
ráca,2,1
otal,341,288
leó ,18,1
o ht,1,2
ge c,27,35
ado“,1,2
mau»,2,1
; põ,1,3
eauv,1,2
sódi,4,49
váde,2,1
mifo,3,1
:que,1,2
 pep,40,30
rd m,10,3
"diz,1,81
oh n,6,4
zz y,2,1
ó cl,28,1
oce ,452,79
álbu,35,41
gáse,3,1
broj,4,1
dors,3,9
íxel,2,1
19 e,7,4
30 a,27,30
seud,13,10
gipt,132,6
¡glo,4,1
"nou,1,2
uími,125,231
firá,6,1
uján,2,1
 tv ,26,117
kiot,99,9
numé,6,1
 –ca,2,1
zerd,1,2
1143,1,2
cap ,4,4
"¿el,46,1
troë,3,2
dedl,3,1
y oj,11,1
ob u,1,15
rfat,1,2
aníg,1,2
856 ,2,1
oe s,6,9
ar e,5721,3219
co d,2,1
kunm,3,1
éfor,2,3
chul,33,4
páti,101,130
ló z,3,1
na-t,1,2
r di,589,1292
ragõ,1,11
uria,35,8
güen,214,1
iapa,5,4
lênd,1,26
ho) ,1,2
itón,10,1
ión),5,1
eteu,1,328
 215,1,2
alro,1,2
z 11,1,2
3 um,1,2
ótio,1,2
balí,7,6
augs,2,1
rei ,1,3
o sr,2,204
¡cue,4,1
rou:,1,6
¿sen,3,1
 rh ,4,1
"sob,39,56
ovío,2,1
rum ,4,6
nóbr,1,2
tum ,4,5
e— s,2,1
iput,20,1
¡chú,2,1
519),2,2
lmo ,21,35
mbiá,9,5
phil,13,16
z ví,2,2
¿ray,2,1
 «eb,2,1
cine,380,293
ilwa,1,2
uo i,3,1
piã ,1,2
éthe,2,2
orse,8,3
dixi,2,1
: '¿,2,1
"rar,4,6
s ca,3645,2611
rrap,20,26
erae,1,3
êmio,1,116
scel,2,1
rodg,1,2
e wi,23,10
atís,4,13
szt ,3,2
el n,1548,138
pa n,61,70
itea,4,2
nnec,38,1
ciqu,4,3
tafe,3,4
 spo,3,12
r- l,2,1
'×' ,1,2
cupó,22,1
í""",2,1
p3 a,2,1
mika,8,4
i (e,1,4
axar,1,44
ó ru,9,1
eagl,2,2
g al,2,1
ancó,56,18
litú,2,2
ncén,11,1
toní,6,1
-me",1,3
 “el,3,3
ngén,2,5
malz,1,6
ogón,6,1
─cen,2,1
epuj,1,2
lode,2,4
cime,22,511
"o d,1,122
ánno,2,1
"«¿h,5,1
“ela,1,2
daci,114,22
sbol,193,1
iou-,1,30
lvéi,2,1
ls e,1,5
“-on,1,2
íles,4,1
ufru,1,5
nian,34,53
upi ,1,3
z do,11,191
o h ,2,1
ety ,1,2
sozi,1,1437
e fl,164,155
tnic,16,14
cto;,6,1
mast,165,56
r) l,1,2
poti,6,16
le p,1807,1418
rmar,394,215
pen-,2,5
""d-,1,2
sa-l,1,3
cice,2,2
op e,7,3
awai,9,4
ha-t,1,17
toá-,1,2
crê ,1,25
esod,11,16
spea,39,31
ipis,2,2
nzán,2,1
xe r,1,3
'dev,1,2
bing,4,3
nhon,1,9
icer,78,15
prác,167,1
“meu,1,9
elóg,1,383
s 27,4,2
-ten,2,3
ã ro,1,2
ues",2,2
1823,2,1
ye-r,1,2
ulíq,1,2
ça-m,1,21
donu,3,4
dou-,2,68
ámst,12,1
ôr m,1,6
brul,1,30
óico,1,3
icas,1205,788
«ada,2,1
"¡va,41,1
h ci,2,1
e fu,2122,784
) am,1,2
oda:,1,2
rã e,1,2
ó 65,2,1
sto/,1,2
 cok,3,1
imos,2280,1145
 sak,15,7
omep,1,2
 yau,2,1
tezm,2,1
góvi,1,2
16h0,1,2
í sa,25,1
grañ,14,1
n dé,22,1
s h1,2,1
tr y,2,1
ger",2,1
inef,12,10
uitc,2,1
d é ,1,41
 kem,3,4
vint,1,373
i (b,1,2
tact,249,45
i íd,3,2
egme,8,6
debb,2,3
ula-,1,9
egir,153,1
ú be,5,1
"¿pi,6,1
"pav,3,1
iocr,18,3
módi,7,5
damá,2,1
ey (,4,1
ab e,7,1
h fi,1,2
1497,2,1
m ac,85,966
ró $,2,1
jefa,21,1
stá ,1,2
"mcb,1,2
melg,1,5
uas-,1,6
asõe,1,2
e ta,1109,1011
 ¡ot,3,1
tíop,5,5
-pát,1,2
ósea,2,4
vórc,1,45
érai,3,1
cual,1093,2
raos,21,1
zamp,8,1
edro,89,193
ado-,2,6
l ie,1,19
ai a,5,717
 dor,1237,1940
ethr,1,2
"fed,2,2
uple,9,9
nduj,79,1
arna,64,43
ovno,1,2
r fo,111,431
erfa,11,7
xión,56,1
lelu,4,3
edañ,4,1
; ¿a,3,1
ch (,2,1
adru,93,48
nfor,700,737
as"s,1,3
urgu,54,16
“sed,1,2
fábu,9,11
oña ,6,1
wolf,2,6
um í,1,19
saem,1,34
artn,1,2
ofon,11,49
""sh,8,8
ctóg,2,4
s 96,3,2
¡hec,3,1
ensõ,1,36
pp t,1,2
xela,2,10
jarã,1,3
róni,148,9
n or,240,3
gisa,2,1
ĉi"",1,4
eduj,21,1
hayá,6,1
"vim,8,17
ogét,1,2
asur,193,4
hist,1181,1066
ão y,1,4
ar â,1,2
eveo,2,1
zera,1,345
se: ,5,218
o-lu,1,4
pilc,12,1
dimo,305,115
rubu,2,3
amis,535,451
isó ,40,1
ocs ,2,1
ć fo,1,2
aq t,2,1
ilím,4,4
scad,364,287
midõ,1,2
: ar,2,4
piya,2,1
""ig,2,6
rmed,333,9
narq,32,15
plóp,3,2
croi,4,10
x-me,4,2
azáf,1,3
icía,716,1
"obt,2,3
 zim,4,4
hopp,10,79
gaio,1,64
 jau,46,16
erhe,2,1
"ate,10,12
u dé,2,7
péis,15,55
infu,26,11
"¡ab,4,1
ru d,1,5
agef,1,2
e¿te,2,1
ájal,11,1
hrva,1,2
reid,8,5
yo c,350,1
aí i,1,6
iq c,1,3
 d' ,1,2
u-ro,1,2
aroç,1,8
 ftá,2,2
belg,30,57
píte,5,2
h do,1,3
loba,45,53
 iíd,1,4
¡al ,15,1
vard,29,102
yane,1,2
s áu,1,3
ción,10639,2
obsc,12,21
púdi,4,1
¿ir ,3,1
inuá,4,2
s"lo,2,1
ta z,30,2
vort,3,1
n pá,115,1
x sa,1,2
e '_,1,2
á yo,7,1
çoam,1,13
ro i,444,462
am h,6,85
ebab,8,7
09 d,1,2
d; h,2,1
upaç,1,98
 365,3,5
 pla,2802,1688
l au,669,11
acou,1,41
lamó,291,1
auxí,1,33
"adã,1,5
jaim,5,3
rlos,349,46
akik,7,9
los-,1,6
sum ,2,2
(cua,2,1
mlas,2,1
ban",1,2
eas;,4,1
ui 8,1,2
do “,1,7
¡fin,4,1
in f,81,13
pp f,1,3
saro,244,329
sfir,2,5
omís,1,3
guav,3,1
chof,19,8
cgyv,2,1
s-lo,2,1
"é v,1,42
ceve,9,3
éjic,17,1
obió,5,2
zamu,2,1
nére,1,2
hocó,30,1
 - “,1,6
ntea,76,65
lirá,19,3
s ám,3,1
sipi,6,4
ex-g,2,1
 235,2,1
026 ,1,2
 mee,2,1
dilú,1,17
-bou,2,1
ugis,1,5
e «o,2,1
u (i,2,1
ssov,1,7
nni ,413,53
e-es,1,11
o ób,1,14
-tei,1,2
20 m,11,18
varu,2,1
is /,1,16
dejá,66,1
 2 f,2,2
¡mar,32,1
"¿je,2,1
mpoe,1,10
 aba,683,739
oryl,3,1
r lh,1,33
subn,3,2
s mü,3,1
jmel,2,1
uinc,144,6
 cni,2,1
nasa,16,16
íz c,8,1
-jal,2,1
iríl,5,6
líam,29,1
né/c,1,2
 sox,2,1
utín,2,1
é iu,1,2
ustó,196,6
bú a,2,1
"é o,1,39
"alf,6,5
inac,300,62
lf d,2,1
ayll,2,2
nchã,1,2
risâ,1,4
: jú,2,2
 tri,838,1152
ía— ,2,1
diáb,5,1
molp,1,2
a xí,1,176
xclu,53,60
"zeb,1,2
hãzi,1,3
16 d,6,9
l 14,13,1
doma,19,14
nadó,12,1
s íb,15,1
de m,6388,6949
drís,2,2
otão,1,97
úde ,1,153
rvo;,2,3
 333,3,3
m (2,1,2
nres,2,1
je-o,1,3
 etí,5,5
una-,1,2
«¡sí,3,1
rir-,1,17
z el,66,88
nnet,2,3
ったの？,2,1
murp,10,5
só: ,2,2
óstr,2,1
tró ,667,1
talm,275,262
""la,304,20
úben,1,10
aabe,2,1
ovám,1,2
poné,392,1
rei-,1,73
37 e,1,2
mugr,16,1
– a ,1,11
rapu,2,3
 9pm,2,1
buy ,1,2
r tã,1,2
rocl,24,16
et y,6,1
uént,90,1
l óv,4,1
tuin,3,9
amêm,1,2
izá ,175,1
edis,61,38
liwe,2,1
ia-o,1,13
ige-,1,6
proh,230,1
5 ch,2,1
uers,3,1
o mt,1,2
ob o,1,79
bunk,1,2
ice-,2,21
"hou,2,23
e éx,22,1
sema,1481,1423
ge p,12,24
grã-,1,25
"ism,2,1
s-al,1,2
aniç,1,9
cê x,1,2
) el,2,2
l an,394,54
y ya,118,1
apa-,1,5
oato,3,44
 pli,6,4
¿vas,173,1
ô fi,1,4
"ré ,1,2
ípil,1,2
iz j,3,10
um c,3,3502
wn s,6,1
obô ,1,18
b pa,9,4
is –,1,5
pase,547,1
»"ja,2,1
tazó,13,1
okon,3,3
rfim,1,16
etuv,125,1
a-ut,2,1
uerr,869,587
 te ,1,2
shov,1,2
t-"",2,1
 ota,9,4
n li,821,3
ríem,3,1
-kvi,1,2
orgi,13,10
árci,1,4
5 er,1,2
- ac,2,4
izao,4,1
lt q,1,2
okod,2,1
l""",1,2
ño; ,8,1
c di,2,6
alek,8,3
zao ,2,1
a /d,2,1
iss ,4,5
k pe,3,4
rti ,1,29
mbod,1,2
 ""ˈ,2,1
às á,1,2
hás-,1,2
perr,1740,17
 nua,1,28
ccia,2,1
xtua,4,4
esue,74,1
lmeó,2,1
hóra,2,1
igas,533,386
esim,38,5
örk ,1,2
lçad,1,66
anes,369,26
o én,6,1
ps d,3,3
duti,1,23
s-so,1,2
esmí,1,2
am@t,2,1
yib",2,1
i ma,982,333
deie,1,13
e-ti,2,1
eau ,3,16
 ete,139,170
iann,4,5
cámp,2,1
uss-,2,1
z 28,1,2
pláu,2,1
rni ,2,1
ry r,50,32
iemo,23,33
 vol,2267,2445
e ¡a,2,1
rípe,3,1
s fé,2,187
'a c,1,2
kms ,2,1
h es,43,12
dara,182,228
afni,1,2
r €3,1,3
cros,44,57
z po,101,328
ngko,3,3
haví,1,10
"ai ,1,4
uice,1,6
ood ,14,10
yōko,2,1
h we,1,2
1/20,1,3
hesa,2,3
dán ,11,1
imo;,1,5
islá,13,1
ncág,1,3
sh d,5,5
la-i,2,1
ú nu,16,1
e: h,3,4
ha /,1,13
nnem,2,1
 re ,11,1
u hé,4,1
20 n,3,2
lvia,16,21
aróg,3,1
ad/s,1,3
maal,1,6
cídm,4,1
hi 2,1,2
os à,1,333
nino,38,806
hí —,2,1
ja; ,3,6
usuf,2,8
 y é,60,2
zó $,2,1
ê ce,1,16
rua ,2,213
sami,518,847
em -,1,2
ns (,1,4
ojig,2,1
r sn,2,2
= do,1,2
u sã,1,27
b el,2,2
 / j,1,17
epté,15,1
werp,6,2
a “e,1,3
yrus,2,3
aboo,1,3
unçã,1,100
koss,2,1
ãe a,1,54
rrol,180,5
dere,814,535
çosq,1,2
¿tim,2,1
4300,1,2
 sím,77,186
an u,384,2
"dat,18,1
itáf,1,4
ôque,1,40
¡sí ,8,1
hamu,5,1
élic,23,14
vosa,2,87
virí,14,1
case,143,84
rgue,93,154
bar),1,2
vis ,15,22
vê o,1,38
ve p,209,314
ngsh,2,1
¡omi,2,1
dão",1,2
gara,235,597
ovo;,1,3
"ada,3,7
aédm,2,1
"acá,8,1
scag,1,2
kabu,6,5
uzsa,3,1
¿vos,65,1
fé b,2,5
uno ,1961,156
foi ,1,8027
a' l,3,1
enni,9,6
dréi,24,1
014 ,7,7
brui,1,2
quéa,6,1
―¿ha,2,1
ço—e,1,2
 cuá,959,1
ho ú,10,11
rá í,2,2
bidd,1,2
utif,2,5
mo 5,1,2
acro,22,28
é od,9,5
bezó,4,1
"¿cr,45,1
25 y,2,1
 mem,269,369
agrí,9,19
zene,3,8
eopt,1,2
é ch,20,185
ntat,127,255
guém,11,3949
) an,2,4
rk a,6,11
ea h,44,2
m át,1,7
aeu ,1,3
edán,6,1
cné ,2,1
rthr,2,1
"cuz,1,2
rs f,3,1
rpes,5,5
tuai,1,55
” y ,4,1
ilír,1,2
hler,4,3
""já,1,35
o d6,3,3
¿van,16,1
iß n,1,2
 piu,1,2
elly,7,8
libd,1,3
y e ,1,97
oski,1,7
ohol,154,1
fenh,1,2
ansá,5,7
irmé,8,1
 puñ,93,1
tapá,5,2
seli,7,3
spob,3,1
ucho,5218,8
él)",2,1
isio,217,104
 lie,59,6
gran,3036,2246
x-al,2,4
elta,428,16
-o-h,1,2
ie q,158,11
óvil,234,1
 anc,400,81
 kaf,3,1
nate,34,17
i; o,1,3
te a,4511,4218
rmác,1,48
m mc,1,3
sken,6,1
imbu,6,4
jarn,15,1
sha ,7,19
onóm,146,16
hinc,67,9
dor ,1496,1770
zinz,1,4
caiu,1,347
weit,2,1
r"" ,33,49
co-m,2,4
ccum,2,3
há à,1,2
ioné,29,5
toís,5,1
 «bi,3,1
nfít,2,1
nsár,12,1
nso;,3,1
yd e,2,3
o io,1,6
oinh,1,25
ej f,1,2
è mo,1,2
barõ,1,14
ercy,3,3
opui,2,1
a ma,8316,9509
¿aló,2,1
en é,174,30
e ví,42,89
sá-l,1,76
amou,2,336
»"te,2,1
mão",1,5
 (ai,1,3
r > ,1,3
 ges,80,72
banu,2,1
lza ,20,1
bó s,23,1
ógon,2,4
j” i,1,2
ie u,8,6
opôs,1,27
¡iré,2,1
anyo,4,2
y il,3,2
chê",1,3
97 a,3,3
a sú,3,7
 ─no,2,1
dono,63,171
n br,289,4
lugo,1,22
undo,2428,2974
 “um,1,8
ondw,2,1
8 a ,4,6
io-d,1,92
 pér,142,59
a oi,5,39
al n,349,298
adn ,30,6
ństw,2,1
st-c,2,1
in v,87,5
teig,1,81
(uma,1,3
 (si,2,2
eo i,28,9
elín,7,1
ó eq,4,1
ajo;,2,1
alaç,1,22
” “p,1,3
 alç,1,16
e) v,1,2
”; n,1,2
 7 i,2,2
s"me,2,1
ô lu,1,2
o gi,45,84
zido,1,167
2 va,1,2
мя"",1,2
—pri,2,1
nogr,24,16
e 80,15,15
cníd,1,9
neru,4,3
oyab,5,1
«¿ad,4,1
clav,317,11
777 ,2,1
 rev,703,610
inuc,22,18
camu,7,32
zime,1,3
1:00,4,5
go-m,1,5
apág,8,1
-""¡,5,1
3 di,1,7
ee f,3,1
87 a,3,2
¿sin,5,1
ll h,7,1
vopu,2,1
áte ,2,1
h₂o ,1,2
44 f,1,2
bê c,1,17
rasl,42,3
50 e,10,11
foid,2,1
udé ,61,1
ês j,1,228
-aço,1,2
stoj,1,5
«허신»,2,1
by i,1,2
os 2,36,23
íneo,29,20
zgar,68,1
se 3,2,9
“in ,4,1
czem,2,2
m tâ,1,2
adi ,1,8
¿red,2,1
aerl,20,1
cia;,4,5
stêv,1,5
lade,54,110
ede-,1,22
açá-,1,10
spri,2,1
"peç,1,30
-bál,2,1
eber,3407,726
d  s,2,1
¿ens,3,1
26 m,2,2
á li,187,211
flas,19,8
í: a,2,1
gisl,25,20
orcé,24,2
epre,209,351
masq,1,3
 (ut,1,2
baik,2,1
éxio,1,2
a-aç,1,2
uemá,6,3
inúo,3,1
érar,1,2
m aç,1,82
rrue,14,1
21h0,1,2
 dar,1388,1365
ça-s,1,12
l)to,1,2
" vá,2,1
o: p,11,23
lit",1,2
"hún,1,2
ion",2,2
0h00,1,6
kell,9,15
bebo,85,97
ulté,13,8
unsc,2,1
"peg,4,38
: ab,1,5
 “b”,1,2
"ntt,2,2
sank,2,1
ppia,2,1
fliç,1,23
(a) ,1,11
ris",2,4
dê q,1,2
hefa,1,2
voej,1,5
mplá,3,6
mént,3,1
"alv,1,2
novó,2,1
ocay,2,1
von ,8,2
 6:0,3,1
ryla,2,1
cluo,1,3
e iz,32,1
chae,18,20
t ap,2,1
nir-,1,14
ni g,20,3
frág,25,43
 vaj,18,1
59 c,2,1
í am,4,3
oing,2,2
uilô,1,128
r $5,3,1
n ar,572,4
ldíc,2,1
lm x,1,2
ágri,188,172
lôve,1,8
nnla,2,1
“obl,1,2
s kr,2,1
ém à,1,6
bo 2,2,1
¿ven,76,1
iños,1287,1
i ag,19,108
z ni,12,5
élam,2,1
heik,2,1
cé d,10,1
ampl,108,88
guea,10,6
loto,82,70
¿bat,2,1
álal,8,1
l-so,1,2
umaz,3,1
es:¿,2,1
treñ,7,1
 «ay,2,1
'goo,2,1
algi,28,5
gãos,1,29
sost,125,1
 tac,94,29
mult,295,230
ízos,1,10
ahe ,1,4
g qu,5,8
egu ,2,1
ei-p,1,2
""ec,5,3
n ll,548,1
lá"e,2,1
o-¿s,2,1
“ple,1,2
90 k,3,2
 meo,7,1
(la ,3,1
76 m,2,2
vrál,1,2
báva,1,3
nrte,1,2
ost ,5,3
taxo,1,3
ir 4,1,2
aen ,98,1
akir,12,6
m: t,1,6
kefe,3,2
inon,3,5
do (,4,5
aker,7,10
cre ,11,10
dvd ,7,4
hico,650,10
nsex,12,3
asia,1903,183
tiod,3,2
 omu,2,2
vo 4,3,1
202-,2,3
1974,10,8
"-es,2,1
tawa,3,1
ólat,2,12
cuçã,1,13
pigu,1,3
asaí,5,1
ate-,1,17
 e s,1,2
"cui,41,56
j ta,3,1
ví p,3,1
42 a,3,5
morb,11,1
ríai,111,1
vê /,1,2
m uí,1,2
ca ú,1,2
ni u,220,3
inuk,2,1
“-u”,1,2
vd p,3,1
rmai,1,26
serb,20,1
 ene,602,248
nk m,1,2
 y c,2,1
le- ,2,1
luta,161,588
o ze,2,33
á pô,1,2
t se,22,7
ei-d,1,4
noos,2,1
líon,1,2
ho f,80,201
derí,183,110
ero",16,1
-sab,2,2
twur,2,1
 oki,15,5
2 so,2,1
rams,11,21
b mo,2,2
mirj,2,1
sa k,3,2
atem,314,402
ãe b,1,6
ajos,158,100
(blo,2,1
¡os ,7,1
lchã,1,11
r ar,114,109
baya,17,9
eomé,5,7
nzoi,2,1
eubi,4,1
6 li,2,1
jo /,1,4
ida;,10,9
"boa,1,47
 ano,432,3899
 hiʻ,3,1
ness,9,689
 955,1,2
ú ya,19,1
kris,2,4
o-ec,1,2
d de,1777,18
luig,6,3
esne,2,28
rtak,1,2
-her,1,6
ya"",4,3
nacr,5,29
uchí,137,1
m et,2,11
troç,1,25
zé c,1,2
 uba,1,2
álic,31,32
vô"",1,2
lodo,25,4
ihir,4,1
m: —,1,2
f já,1,3
dizq,2,1
inéd,2,5
atiu,3,13
gle ,31,42
emot,170,124
béli,5,7
rtri,8,6
 fee,1,10
rfug,3,1
"láv,5,1
m» e,2,1
rolí,12,6
dees,3,1
ko k,2,1
nsbu,2,1
¡un ,24,1
moái,2,1
: on,1,7
god ,1,2
rf y,2,1
exês,1,2
fóid,1,2
sâmi,1,2
ora),1,5
ipaj,70,1
rn s,2,2
abu ,3,1
na— ,3,1
uinh,2,237
erez,202,3
ina;,4,3
huí ,5,1
atag,5,8
nyts,2,1
uiz ,1,57
lã n,1,2
u-o;,1,2
rbac,26,1
​​qu,1,2
e cn,2,2
avés,201,178
bus ,88,450
díve,1,21
 enl,53,53
eáin,1,2
ntuf,11,1
ño j,22,1
tabá,2,1
l ol,108,6
namb,5,6
utó ,29,1
hof ,18,62
uliç,1,4
sgad,30,8
ca​ ,2,1
fría,174,1
ríod,34,124
lsed,17,1
ibil,210,205
ummy,2,1
 x 3,3,3
ocoz,1,2
 urs,10,124
ãoza,1,3
riu;,1,2
savó,1,12
(aba,1,2
répi,7,9
ló r,2,1
itto,1,2
e zu,24,4
 — 5,1,2
muad,1,4
uíze,1,14
ebux,2,1
dúvi,1,257
"tru,4,2
já q,3,109
ietê,2,1
r 18,3,3
""¡e,28,1
fulm,5,5
-101,1,2
 “ŝi,1,2
núes,2,1
vayá,34,1
0120,1,2
 pvc,2,1
¡deb,23,1
vor;,4,6
rço ,1,146
egão,1,11
009),1,3
“mi”,1,2
açuc,1,11
rr¡ ,2,1
_ "",1,3
ipto,151,15
cy d,2,2
osah,2,1
ccío,2,1
urfa,1,12
ó on,2,1
onté,51,102
etos,272,384
"«pi,2,1
""ea,2,1
“não,1,15
792 ,1,3
r 't,1,2
 kuc,2,2
trof,71,51
ijo ,2666,187
 zu ,2,1
al é,16,1378
rvân,1,3
nitr,20,20
5) n,1,2
aial,2,6
ntol,39,37
s 55,2,2
a ir,994,1661
rteó,2,1
n pú,104,1
uart,501,1155
 dei,15,3322
l g7,3,1
eyún,2,1
tetr,13,8
boia,1,25
ztec,8,1
 vác,1,5
anfí,2,3
d mi,46,1
rueñ,3,1
rtit,21,7
r 19,1,3
 ócu,1,295
güit,3,1
ganâ,1,11
xo-a,1,3
salm,48,37
areg,8,2
oo b,1,2
ó ar,21,2
ailó,11,1
quoi,2,4
“gep,1,2
d ma,48,6
ze-l,1,4
iánd,18,1
ilol,5,1
cron,30,19
luí ,3,11
éu o,1,8
pitó,16,1
nzeu,1,5
 sci,2,2
boon,1,2
vé y,7,1
'"ni,1,2
opod,7,1
sfig,2,5
r bí,2,1
lusi,212,91
¡baj,12,1
ões”,1,2
ln g,2,3
r rô,1,5
moxa,1,3
rd 2,1,3
nháv,1,4
150 ,12,13
lísm,3,1
"cem,1,7
(pér,1,2
sleñ,4,1
jar-,1,19
avô ,1,199
ñade,36,1
y jó,8,1
¡mue,13,1
izív,1,4
sapr,13,13
peje,2,6
ció;,2,1
íngu,3,1755
n-se,1,2
nd y,2,1
úa o,2,1
grah,4,6
é zu,2,1
vesé,5,1
inog,6,4
ngoi,1,2
má s,21,20
déme,11,1
 -¿q,2,1
opçõ,1,54
sack,2,1
ro g,154,136
a) f,2,4
eraz,18,1
m-gr,1,2
—una,2,1
ru"",2,2
swag,5,2
ã; “,1,2
 pañ,80,1
omeu,2,343
"sei,6,67
ol «,1,2
ógra,63,64
 «en,8,1
y at,98,13
– «l,2,1
zana,576,8
ni-l,1,5
mbrí,17,2
énam,2,1
icai,1,85
ifie,26,1
os¿p,2,1
cóis,1,15
axac,2,1
rlot,12,8
macu,11,7
ró b,14,1
"moj,2,1
au a,1,13
niai,1,4
ios ,2359,1614
s úl,189,151
fies,870,6
ruse,14,2
s-ro,1,2
ina–,3,1
 baí,1,16
dó b,13,1
à pr,1,324
mejo,3072,2
"a"",9,13
adua,106,78
ític,617,434
y óx,2,1
sa á,8,36
oe f,7,2
xine,1,8
faís,1,4
10 f,4,5
cd l,2,1
n 2c,4,2
ase ,1219,1578
aláp,3,3
neco,1,26
ly m,4,4
utíf,1,17
"alm,12,7
7 a ,3,8
maña,2809,1
lova,14,40
tuer,23,1
nu v,1,2
-ila,1,2
: lá,1,2
u fr,1,2
hinê,1,199
ngro,3,10
ndi;,1,2
klas,2,2
apea,11,4
00ª ,1,2
idam,316,356
3 vi,2,1
eto",3,1
f3 ♘,3,3
aoqu,1,3
$30 ,1,2
) na,1,2
ofer,143,397
nans,2,2
tujo,2,1
ms r,1,2
 san,1017,790
 ais,52,1
oonl,1,2
chav,62,827
ng-f,2,2
mpúj,6,1
grêm,1,3
uso-,1,6
s dó,158,65
 6h3,1,10
brev,331,576
“ĝar,1,2
l ra,218,16
ph d,2,1
o) f,1,2
truh,2,1
ajús,3,1
nazg,3,1
ém 3,1,2
brea,47,10
j ne,2,1
d oy,2,1
asmó,6,2
u hi,588,29
mzes,2,4
l x ,1,2
rytr,2,1
a ér,3,2
yo t,701,2
o: h,8,3
ieli,2,3
zuri,3,8
"¿ar,2,1
k da,1,3
tung,3,2
obej,1,3
opó ,13,1
80% ,4,3
le -,1,3
brig,238,1304
o) e,2,6
k mu,3,3
iadu,1,16
litá,1,71
rk f,2,6
rfid,5,4
omir,7,1
"alo,4,2
inéf,1,2
e a ,5646,8452
zygm,2,1
[я г,1,3
à ág,1,10
iff ,2,1
d eq,3,1
e ób,1,11
"caí,6,3
 nef,11,8
vaca,590,135
 47 ,5,3
váqu,1,13
"com,620,1212
nstá,1,14
rirã,1,14
gisc,3,1
ón l,240,2
fimo,4,2
ands,1,2
toca,822,913
ke n,7,6
blog,28,36
rupó,3,1
es +,3,1
eurí,3,6
ña r,25,1
'yo ,2,1
"med,9,7
hrek,3,1
ulmõ,1,26
 oas,9,1
cá-l,1,131
"pag,20,17
m má,8,50
ov y,3,1
ão n,2,1700
4:30,11,22
o-ka,2,2
uí z,2,1
— fi,1,3
oofy,2,1
mebo,2,1
ny o,1,5
pe n,8,16
e 54,5,6
t (",2,1
tar;,1,10
ginz,4,2
uçõe,1,170
japó,708,1
r “o,1,2
w le,2,1
 a's,2,1
¡val,8,1
ieda,366,287
elat,136,228
auer,5,4
io à,1,85
13 s,1,2
shou,5,7
1100,1,3
ang',1,2
rro;,3,7
julo,3,1
ek-k,1,2
 rid,102,87
isea,3,12
n¿ha,2,1
enso,797,770
hiki,2,1
sop",2,1
uro ,1340,753
e-za,1,2
f li,1,2
 w d,1,2
gabá,1,2
naer,2,2
grag,3,1
plén,38,1
¡¿có,3,1
; sé,2,1
119 ,2,1
rbas,30,10
 ent,1,2
sito,1333,492
lã a,1,2
érsi,1,15
f pa,4,4
quec,56,1400
iése,32,1
 wey,4,1
onám,8,1
ucú",2,1
adde,1,2
ô da,1,2
ndai,5,17
(rou,1,2
gadí,6,3
 nác,2,1
ó ot,57,1
orão,1,75
osam,204,226
ó oí,4,1
ir-l,1,39
vit ,3,1
"hue,9,1
vagó,6,1
ejer,269,2
 1tb,1,2
jice,1,3
malg,37,2
"ave,6,8
rañá,2,1
írri,4,2
; ah,6,1
to e,1,3
udul,4,2
ns j,1,22
ipam,11,57
sene,2,14
tasa,41,1
gucc,2,1
nias,25,42
kokk,2,1
al-q,4,2
yor",2,1
rôdi,1,2
m-ed,1,2
ázam,3,1
coad,1,6
atou,2,310
ejit,31,1
impí,13,31
úan ,25,1
udém,4,1
guzm,2,1
ra-d,2,10
yado,40,1
ayús,28,1
pliá,2,1
hyog,8,8
