Quadgram,polish,czech
remu,20,1
ží b,1,4
wsty,88,1
lątw,5,1
yt b,7,3
buld,1,2
 čum,1,2
"toč,1,2
xi p,1,2
časn,1,30
adcą,5,1
a čo,1,5
 zpo,1,35
 „za,7,1
avil,1,171
ałka,14,1
pí n,1,25
ak s,501,442
pauz,2,8
upij,5,1
t tz,2,1
love,3,32
ej w,464,1
ýlka,1,3
hłym,2,1
cięt,21,1
ab c,3,1
ęchc,2,1
adá ,1,160
týl ,1,3
ašta,1,2
i są,283,1
pych,15,7
ów z,159,1
ejsb,17,2
rcha,7,3
než ,1,540
nikd,1,956
astě,1,15
z út,1,4
lóny,1,2
ka‘ ,1,2
ar s,12,3
jová,1,4
é ně,1,6
l tu,5,80
kred,44,14
rlin,15,4
orgo,2,1
upiš,1,3
bę s,4,1
ezhu,1,2
larm,12,2
wo n,52,1
eň a,1,4
ć że,10,1
země,1,93
o ju,158,1
rosó,18,1
ines,4,60
přev,1,27
uity,1,2
ęźle,2,1
č ko,1,3
iank,33,1
a no,158,57
aném,1,6
łczą,2,1
výš ,1,4
 údo,1,5
"aaa,3,1
brně,1,2
tu o,42,17
ć kc,2,1
nězí,1,4
ejíš,1,2
"výj,1,2
rali,244,25
 kab,7,41
ěvov,1,9
ovky,1,12
e mą,14,1
oobr,2,1
jeto,1,3
zapr,307,7
wydr,12,1
 ujr,13,1
w wł,2,1
at: ,2,1
ožár,1,29
ihnu,1,4
í ut,1,2
octo,2,1
znaj,330,14
ka (,2,1
k ex,1,2
habl,1,2
ařst,1,8
vu b,1,7
cną ,14,1
roke,2,9
g kt,2,1
ly u,2,10
odeš,1,173
łupe,4,1
jiné,1,105
ešno,1,2
á cé,2,1
vojs,1,2
š tá,1,3
za c,129,20
 wol,471,1
kovn,1,6
zećp,2,1
dś s,2,1
č se,1,116
ójśc,25,1
edit,2,24
avků,1,4
í ve,1,108
r ke,2,1
ítl ,1,39
adep,5,1
„nem,1,2
vybr,1,54
áta ,1,29
zese,8,1
lą j,2,1
zek",2,1
uzia,12,1
beau,1,2
mś d,3,1
rka ,132,11
awió,12,1
idyj,2,1
ą tw,70,1
z mé,1,15
eumí,1,105
 zgó,2,1
 ujd,5,1
ądrą,2,1
"skv,1,2
ador,12,1
afír,1,2
tomk,28,1
st 6,2,1
lbie,3,1
évku,1,14
k gó,2,1
 něh,1,24
edes,3,7
č un,1,2
ej-ó,2,1
naté,1,2
o ms,2,1
1914,2,1
o fó,1,2
žet ,1,40
 záp,1,49
cyki,2,1
ntov,1,12
wilę,112,1
damn,2,1
""kv,1,2
leke,1,2
álož,1,2
aozo,2,1
lmec,1,6
reg ,5,1
post,355,258
bącz,2,1
"dek,2,1
ý nů,1,5
pičk,1,6
vzat,1,2
 rym,2,1
ed 4,1,2
uł c,2,1
ie"p,3,1
all',2,1
""sm,2,3
avý ,1,37
hcal,1,2
ie š,1,2
 kré,1,3
yjeź,10,1
cak ,2,1
esdě,1,3
- bů,1,2
l'em,4,1
laje,3,1
ci k,63,21
y or,9,2
żsi ,3,1
awu ,4,2
avic,1,15
vezu,1,6
r zł,4,1
žadn,1,2
"wed,36,1
"tři,1,8
ódco,2,1
osci,2,5
doji,1,8
wanu,9,1
yarl,2,1
"děť,1,2
być ,959,1
účto,1,3
ę ja,199,1
gwoź,6,1
ijac,2,2
 tor,2,1
zute,2,1
ynkó,11,1
” „t,10,1
 199,18,3
"imp,6,2
ddyz,4,1
ż zo,12,1
rzké,1,2
(nie,2,1
aw d,5,1
rus ,15,7
nerz,4,1
y uś,19,1
osím,1,369
”szu,2,1
mś s,12,1
bě t,1,11
n šr,1,3
 gub,10,1
wu g,4,1
yzan,2,1
lánu,1,75
d cu,1,2
3 př,1,3
lafi,3,1
epij,1,46
winy,39,1
bór ,13,1
arnu,22,1
wyno,50,1
eice,2,1
adé ,1,7
rvar,15,3
alew,7,1
kuj ,23,7
ił u,15,1
yci ,4,1
uzea,4,10
ea s,2,1
ć sp,80,1
 lia,2,1
dář ,1,2
 zbu,65,1
nění,1,34
 guz,18,1
ímá ,1,38
pi d,1,5
pysk,8,1
bsah,1,18
akáž,1,2
t (p,2,1
í ry,1,25
eń z,29,1
ilme,4,7
"nau,57,12
řkno,1,2
„čí ,1,5
klu ,2,1
ězům,1,2
abłu,2,1
s ją,2,1
ać ź,3,1
i gó,2,1
 kůr,1,2
ecní,1,2
apůl,1,6
kyni,1,27
ajkr,3,1
t je,450,268
eple,22,15
tlów,2,1
ańcu,10,1
mira,5,1
ć ar,12,1
0 sl,1,2
báte,1,2
větš,1,139
"kum,2,1
árlí,1,11
ojar,16,1
ânia,2,1
eba”,3,1
am ś,15,1
j ut,4,2
ł ku,22,1
íc n,1,43
kooś,2,1
ra ž,1,2
i be,56,39
vzpo,1,104
ípky,1,2
lej ,94,74
ski-,2,1
y zd,75,6
ycje,9,1
oléb,1,4
davš,1,2
l og,3,1
jkol,2,1
louž,1,54
nedo,1,276
 zdr,318,119
l wą,2,1
jčit,1,23
 nis,79,1
 pry,59,50
d čů,1,2
cide,1,3
uuje,5,1
icyk,1,3
p ha,2,1
óryś,7,1
"o w,4,1
t at,12,3
ł im,14,1
y ga,22,1
roam,2,2
ięmó,2,1
"łyż,3,1
„do ,2,1
dlík,1,9
nutk,4,1
poło,187,1
jfun,19,6
tyři,1,75
ippi,2,2
kynů,1,3
po w,60,1
vymř,1,3
bcią,20,1
vé š,1,12
"skł,6,1
u vb,1,2
otit,1,6
koří,1,2
gorę,5,1
ć gw,5,1
jkie,12,1
vinu,1,45
ledy,3,42
 jak,2916,1170
kło ,24,1
dzel,3,1
ię ż,54,1
"v j,1,7
benn,2,1
j ča,1,17
ilea,2,1
ga ś,3,1
-sur,2,1
dorf,2,1
ę 20,6,1
ajez,2,2
 50 ,37,4
ręko,10,1
ržít,1,2
ozdá,1,4
ylij,10,1
hliv,1,16
itac,5,6
rzem,450,1
ad i,4,1
hřál,1,6
oń m,8,1
- wz,2,1
 102,2,1
erwi,60,1
frut,4,3
u rá,1,17
ínek,1,7
dehr,1,6
gett,7,2
odln,1,13
 łab,13,1
enną,7,1
óły ,4,1
w zb,4,1
ť ob,1,2
ie o,1134,10
rily,2,4
orną,5,1
ad"",2,1
caga,1,2
máčk,1,8
dwus,2,1
nią ,281,1
 své,1,724
razu,72,8
łahy,2,1
sz ł,7,1
rači,1,4
mkly,1,2
"a z,4,1
 šiš,1,4
ázin,1,7
trák,1,3
kapr,2,3
nulý,1,62
m mó,259,1
ačně,1,7
 pię,718,1
apců,1,5
rdám,1,3
 to:,6,3
 zże,2,1
 zry,7,6
"zaa,4,1
jimo,1,2
lá c,1,6
owcz,12,1
rcho,1,20
pęka,4,1
raňo,1,2
ipy ,4,2
ż mn,10,1
é dl,1,2
něnk,1,2
edím,1,5
se y,1,2
ašle,1,9
łtuj,3,1
im c,86,4
iś j,52,1
of d,2,1
ksan,5,1
ni ď,1,3
kain,3,1
ajną,6,1
tak",3,1
tort,15,1
átne,1,2
arre,4,1
iu ć,2,1
d us,2,2
 128,3,1
těj ,1,4
ítok,1,2
ias ,3,1
esna,20,4
rtor,3,1
á žá,1,33
czip,4,1
hcąc,16,1
"sír,1,2
łuk ,3,1
fire,4,3
y mě,1,201
rub ,1,3
zwol,256,1
icie,292,41
żade,46,1
svět,1,351
ěc p,1,2
irma,49,12
zníc,1,5
hrůž,1,5
vů u,1,2
hřip,1,7
„alb,2,1
uż; ,2,1
ídni,1,4
ruby,30,6
osje,2,1
ixou,1,2
""sá,1,2
elnu,1,2
o né,1,3
ml d,1,2
ępcz,10,1
í uz,1,2
bida,2,1
koho,68,301
910 ,2,2
klab,2,1
dł k,14,1
dobę,10,1
"""l,5,1
ąkał,2,1
rově,1,13
k lu,16,1
gę h,2,1
n ad,6,2
"c++,3,1
bys ,1,478
ízké,1,4
beně,1,8
gosl,1,2
éž b,1,117
há c,1,4
ušle,1,2
iaku,5,2
e: w,2,1
ółtą,3,1
ná e,1,6
ěny ,1,11
mało,148,1
ketó,2,1
oć t,4,1
"roc,2,1
zą f,3,1
ž uk,1,3
rdni,6,1
ct d,1,12
zeką,12,1
dopt,16,11
rohr,1,34
faq),2,1
tovn,1,13
apor,49,1
 vlá,1,22
tars,220,1
ří o,1,7
ione,205,1
dowj,2,1
apak,7,1
dry ,15,1
ztwo,11,1
sigu,2,1
vá d,1,26
n rá,1,5
 dyk,7,1
rabo,8,2
ą oś,2,1
ągu ,68,1
 v t,1,252
ptej,1,29
pe u,1,2
czat,2,1
oši ,1,4
łpi ,2,1
ty z,98,18
ublí,1,60
tria,5,2
bin ,6,2
żą i,3,1
ićje,2,1
létá,1,10
dlá ,1,6
ámus,1,6
jęły,5,1
k uż,9,1
ztyl,4,1
cca ,2,1
icyz,2,1
u mł,12,1
pnem,4,1
nadv,1,10
tutc,2,1
pl a,1,3
su n,66,17
m 12,2,1
nada,205,21
 pes,13,142
u uł,2,1
ewne,103,1
ś tę,18,1
fr a,1,2
 ozb,1,6
ored,2,1
kra ,7,10
ebud,5,391
toto,2,130
gą z,10,1
nazy,154,1
ał; ,2,1
c bo,4,3
ól u,4,1
z uł,2,1
tají,1,26
hl r,1,4
hi r,2,1
vrna,1,2
ompa,12,2
y kw,26,1
chór,32,1
o vz,1,48
eobž,1,2
"hai,2,1
ele ,571,47
dręt,8,1
římo,1,23
łoró,2,1
a ku,95,16
" st,2,1
ehán,1,6
jmił,2,1
żże ,2,1
y hr,1,17
iżuj,2,1
news,4,1
glow,12,1
w ha,8,1
 sys,47,20
wne ,103,1
dku ,139,29
íjse,1,2
muzi,1,12
nadá,1,19
h př,1,47
onst,21,7
w z ,53,1
vapt,1,2
zbyt,471,40
héná,1,2
romk,6,2
853 ,1,3
ś aż,2,1
oobi,2,1
 upr,133,19
abý ,1,3
řijď,1,17
d uw,38,1
orťá,1,2
lédl,1,29
ek r,35,3
ii-w,4,1
e př,1,566
ć ró,15,1
arzo,18,1
souc,1,9
tínu,1,6
órca,3,1
wgry,5,1
 ofi,22,8
íchu,1,8
spěm,1,2
karż,65,1
rw c,2,1
ácet,1,11
eost,14,2
rem ,199,40
nd j,3,6
h u ,3,1
""có,4,1
strp,1,2
av n,1,3
szu ,18,1
á vý,1,9
eł j,4,1
e'a ,7,1
wygn,4,1
t va,1,17
rutk,6,1
 zvy,1,124
opto,17,10
pý n,1,5
li k,55,39
ć ol,5,1
efou,1,2
reś ,2,1
tyď ,1,2
hly ,1,10
żyto,2,1
j zą,2,1
apné,1,3
ętaj,30,1
spát,1,112
u hm,1,2
szaf,17,1
raký,1,3
aj; ,3,1
ší g,1,2
 jag,5,1
 z z,109,1
tpię,27,1
jnd ,2,1
oť p,1,2
ół r,10,1
r up,2,1
sí n,1,26
 w ó,5,1
estw,14,1
tucj,8,1
j bz,3,1
onan,83,3
ipne,2,1
opna,8,3
uść ,25,1
ecně,1,11
arca,16,1
ano ,275,8
zpre,3,1
m eu,2,1
pome,1,134
jíte,1,23
i; v,1,2
kuřa,1,3
ar ś,3,1
"sre,2,1
epep,1,2
tysi,82,1
tą (,2,1
resó,6,1
wycz,291,1
omkę,6,1
eż f,3,1
rném,1,4
iem”,4,1
mrt ,1,28
ache,19,10
rvys,1,5
o šk,1,149
że ś,21,1
m zp,1,34
něj ,1,91
 uła,10,1
i čt,1,23
ń ze,6,1
suńc,2,1
i dw,52,1
hyni,1,35
čit ,1,221
deks,24,1
zabě,1,2
ń ug,2,1
n ty,17,2
 šup,1,6
(am),2,1
łuje,32,1
čněj,1,12
evá ,1,2
ał 3,3,1
asić,10,1
uksa,2,1
ěžko,1,33
posa,30,33
zran,55,69
tr i,6,1
ád h,1,28
ą re,31,1
d tę,3,1
żamę,4,1
ěj č,1,4
jpki,2,1
roił,23,1
ne a,13,8
tám ,1,33
řivá,1,5
lém ,1,84
kupm,4,1
ddec,22,4
m oc,61,6
ladý,1,51
orys,15,3
aků ,1,2
ě kň,1,2
živš,1,2
śpis,12,1
 lwi,2,1
"moi,25,2
ję t,122,1
pi k,4,1
dido,1,7
sosó,2,1
 toh,2,531
ę"cz,2,1
ż ni,283,1
egę ,5,1
ztan,4,1
stál,1,335
cież,60,1
ounc,2,1
itém,1,6
oráz,1,2
ę di,8,1
orné,1,11
l zh,1,4
ksal,2,1
ezet,1,2
omóg,84,1
umki,3,1
tice,1,11
ł pu,25,1
rola,5,2
buja,3,1
mylą,12,1
waża,431,1
kusi,15,102
hich,10,2
ns r,4,1
eum ,30,7
malí,1,10
adźc,2,1
dług,634,1
nguę,2,1
jagn,2,1
oslu,1,8
prym,2,1
ránu,1,10
yší ,1,13
e 7 ,2,1
 syc,5,1
ornó,2,1
lkic,30,1
rét ,1,2
klin,19,5
 mld,3,1
ži b,1,4
orci,15,3
wi"j,2,1
t z ,159,57
egor,22,3
akrę,14,1
yc ś,5,1
couv,1,5
małp,28,1
iluj,1,214
skva,1,3
řivy,1,2
pala,29,24
 123,2,1
taj ,388,1
řádn,1,19
id —,1,2
rkly,1,2
štěm,1,7
pide,7,2
psář,1,2
awiś,21,1
zażą,21,1
ba s,65,26
n ha,18,2
kówk,34,1
"tre,4,1
horé,1,2
jemn,248,31
l st,5,64
5 kd,1,2
k ge,3,1
m kv,1,12
edek,1,17
ądną,4,1
oo w,4,1
dcą ,8,1
bami,24,8
meck,1,84
om h,4,48
ajws,3,1
j hl,1,14
jnie,117,1
ér z,2,1
ad 2,4,1
hasz,62,1
mlso,1,2
tmic,2,1
ávod,1,16
pute,221,1
żuci,4,1
endi,11,6
liký,1,7
t čl,1,5
rnęł,3,1
psza,54,1
eć c,58,1
nats,3,1
wdź ,20,1
ajró,3,1
ávaž,1,4
e że,37,1
waćp,2,1
avam,1,2
hatr,1,3
(zoo,2,1
sorb,2,2
brie,3,1
š tv,1,5
yzła,9,1
ísný,1,13
liv ,1,75
rumu,14,5
ół d,36,1
j tw,25,1
ię s,967,1
zdáš,1,7
"kil,11,1
djął,49,1
a sm,48,33
mafi,2,1
c s ,1,3
ráků,1,2
ř st,1,3
ydmu,2,1
pę m,4,1
 jor,74,2
cy ś,16,1
zwab,2,1
filo,17,5
bilu,4,3
talý,1,3
 vůz,1,4
ełam,5,1
suję,21,1
 alp,6,1
k vs,1,7
 las,44,20
ěť m,1,2
"tar,10,1
álné,1,2
eło ,9,1
ficj,6,1
wuja,11,1
netl,1,2
azka,3,2
osmk,1,2
vbyv,1,2
"prá,1,24
 §1 ,1,2
dují,1,24
revn,1,11
"več,1,5
hé z,1,2
éce ,1,2
málo,1,62
ajme,1,3
 mrh,1,3
ěvku,1,2
o bą,7,1
ne 5,3,1
 coo,14,5
ełne,31,1
cy t,62,1
agę ,84,1
ere ,3,28
dí b,1,13
"－ u,2,1
 ści,2,1
žu č,1,7
vygo,1,2
a zm,91,20
 váš,1,81
usen,1,11
ioną,27,1
arán,1,3
ládl,1,19
ustř,1,12
z żó,2,1
ierś,20,1
šť a,1,3
ełza,3,1
k úp,1,4
fovy,1,2
uď j,1,10
rmom,5,1
 don,2,1
bumu,2,1
nóża,3,1
vnad,1,3
ovlá,1,32
sję ,19,1
da: ,2,2
epti,1,4
očku,1,43
ohei,2,1
zać ,2,1
u šť,1,10
brat,274,222
amsk,10,2
m ek,13,1
ś fi,2,1
żajm,2,1
mogo,2,1
ogąc,7,1
h té,1,3
e qu,2,1
omok,4,6
j 65,2,1
łasz,97,1
koam,1,2
i sł,121,1
ojev,1,11
 you,10,6
ívač,1,3
mich,5,4
j wz,10,1
enná,1,2
n fi,65,31
k bo,11,13
 ruč,1,21
: ph,2,1
k ml,2,12
fy e,2,1
"syl,1,2
ůj a,1,6
ůsob,1,109
těžm,1,2
 mur,21,1
żoną,36,1
ož t,1,8
sl č,1,2
rael,6,4
evar,1,4
řaty,1,4
 gri,12,2
ta f,32,3
t šk,1,5
egic,2,1
300$,1,2
laté,1,10
amyš,1,5
í úc,1,2
zięb,87,1
brém,1,5
i: ",3,1
zelu,2,2
vléc,1,2
ikoł,8,1
ia 9,2,1
wyję,10,1
ku „,4,1
etab,1,2
za ś,19,1
zu ż,2,1
ímac,1,2
ncką,2,1
9 a ,1,2
odet,8,1
ěle ,1,13
upov,1,52
użąd,9,1
m dé,1,5
elbu,1,4
ówno,75,1
lus ,9,7
swem,4,1
ženo,1,35
maží,1,2
yhne,1,6
ję k,36,1
ół p,11,1
ají-,1,2
emug,2,1
8 (2,2,1
rzsz,2,1
wcip,22,1
'owi,22,1
iana,50,2
óż u,2,1
"the,2,1
falt,3,2
i ev,2,3
rtku,5,1
 poń,2,1
ąż u,6,1
 koř,1,9
 cem,2,2
šker,1,17
ą ha,8,1
šnek,1,2
śl ż,2,1
błag,12,1
ąkam,2,1
15 l,7,2
né"",1,2
lids,1,47
ajaj,5,1
kreg,2,1
agrz,5,1
viď ,1,2
esák,1,2
żemc,2,1
ove ,2,1
 śmi,4,1
cmi ,1,2
nčit,1,59
ítli,1,9
razí,1,43
olve,1,2
á zr,1,6
ą śn,2,1
oeli,3,1
słej,3,1
š úk,1,3
umuń,4,1
té o,1,4
nglo,7,6
ebro,5,1
 kln,2,1
aści,217,1
vonů,1,2
inc ,1,5
ěvčá,1,6
s dě,1,30
s rn,2,1
ypěl,1,2
unęl,4,1
haju,5,4
pleť,1,5
ż ha,2,1
rayu,1,2
żnim,4,1
noty,8,3
atło,93,1
tě ú,1,2
žďuj,1,3
eneš,1,6
párá,1,2
jégo,2,1
z re,43,5
upmy,4,1
zilo,1,13
ię l,99,1
neli,2,9
y: d,2,1
h dź,2,1
1419,1,2
zaże,10,1
"ląd,2,1
t ‚n,1,2
kłeg,10,1
te j,28,84
ýhod,1,16
klás,1,7
 szo,36,1
 oti,1,3
 (ni,2,1
a lą,2,1
nt ś,2,1
piča,1,3
such,38,14
rd ś,2,1
"san,3,1
já z,1,9
go z,713,1
chýn,1,4
swod,2,1
1998,4,1
u 60,2,1
sork,2,2
vá b,1,15
ídl ,1,14
 ma ,2133,3
nka”,2,1
bie;,2,1
jańs,11,1
ezep,1,8
rznu,1,3
939 ,2,1
lamn,1,3
cejt,1,3
moud,3,23
dz n,20,1
stod,6,6
ęk o,3,1
zavý,1,2
očtu,1,4
hajc,7,1
tę 4,2,1
d 3 ,4,1
sa v,1,6
rę o,5,1
ráz ,1,5
atre,4,10
mě p,1,148
ročt,1,2
e sę,4,1
stwę,4,1
zsku,4,1
 ile,122,2
lé l,1,4
yamo,1,2
myły,2,1
 mlu,1,481
bo ž,1,4
) pi,2,1
żbie,14,1
"spř,1,2
ý um,1,3
plný,1,29
n no,28,8
iadó,17,1
ased,3,8
doha,1,3
tr j,5,21
ić ź,2,1
vnos,1,9
j ki,30,1
aląc,9,1
kříň,1,6
iłuj,8,1
i ke,7,8
u zo,50,9
ulch,3,1
ehdy,1,22
ovka,1,8
ý dů,1,52
i ko,166,176
eruň,1,4
odka,47,2
"uje,1,2
obzv,1,4
huni,2,1
opad,55,49
"dvě,1,3
arzą,35,1
h rz,58,1
bash,3,1
ządź,2,1
ne n,113,47
cous,1,2
cky ,1,183
iwbó,8,1
épe ,1,25
5 me,2,2
pczę,2,1
oć j,6,1
yś s,78,1
"tle,3,2
 drg,4,1
nějš,1,139
vinn,1,43
 jaw,12,1
ą gn,6,1
 bab,56,28
l id,1,2
ty h,2,10
m an,62,52
moct,1,115
e ků,1,2
az t,77,2
ií n,1,3
ezaw,4,1
ůh m,1,3
zjar,3,1
dkli,1,4
kl ž,1,4
koil,4,1
raco,419,223
zgrz,12,1
 sra,5,19
cí j,1,11
ęłyś,4,1
onno,16,2
rboh,3,1
o wi,609,1
té v,1,24
ij z,26,2
g la,2,2
ýsti,1,2
iał(,4,1
ią s,100,1
c ig,2,1
lch ,1,2
tliw,11,1
kłej,4,1
vyta,1,3
 nás,1,361
mozy,2,1
i u ,6,5
ě kl,1,9
yryl,1,2
rees,2,1
erwę,23,1
łw m,2,1
żu t,5,1
c po,106,24
orka,11,9
lede,1,29
wki:,2,1
kław,2,1
ž tv,1,12
erií,1,2
bicj,12,1
istu,44,77
ś ga,6,1
ryho,1,5
díš-,1,2
kwit,29,1
d zo,18,1
juji,1,2
p k ,1,3
ły h,9,1
 hav,1,9
ouvá,1,34
mążp,2,1
eo h,1,2
é vy,1,44
zgła,6,1
jomi,10,1
íkův,1,2
óbii,1,2
sa s,16,8
aři ,1,4
nů v,1,4
otic,1,11
"uci,11,1
ámýc,1,3
hl c,1,3
ectr,2,1
gats,11,1
ápac,1,5
kroc,23,1
blič,1,27
kyně,1,44
łeś",2,1
t dr,47,11
erow,243,1
zabl,21,15
rocy,3,1
a wz,60,1
(w o,2,1
e já,1,37
ojma,2,1
ctu ,1,3
bels,2,2
d sn,5,13
ntě ,1,3
íš j,1,43
jbrz,3,1
żo o,22,1
neur,6,10
lašn,1,2
abuk,4,1
ytwo,5,1
maly,1,5
— by,1,2
j le,32,3
l 20,1,4
"łuk,2,1
 cor,93,3
orbą,3,1
m ší,1,2
lézá,1,3
rhno,1,8
jąca,61,1
o au,74,106
ru l,1,3
ě od,1,40
očůr,1,4
ed 3,1,2
ozez,2,18
ądzu,2,1
czyi,9,1
łcaj,2,1
atyá,1,2
iłab,13,1
ul a,1,3
z tě,1,27
ysył,26,1
zwło,17,1
byty,3,1
h be,9,4
kzém,1,3
tříp,1,2
d ki,51,1
lává,1,28
ść 6,2,1
20 s,4,1
k mp,2,1
a wb,4,1
ym o,155,1
zkří,1,2
ećmi,42,1
vzhl,1,16
i čá,1,2
štov,1,8
ušim,1,3
de-l,1,2
) = ,2,1
zhak,2,1
ężow,4,1
a um,38,17
énin,1,3
ty j,72,90
"hoš,1,2
okow,53,1
ny n,217,58
auss,2,1
iśću,2,1
ndui,2,1
e čl,1,19
lář ,1,7
bojk,1,4
et m,23,44
eklo,1,10
ń 11,2,1
bawn,47,1
ž vž,1,2
upot,23,1
jšti,1,5
mad ,1,2
zyde,74,1
"ber,2,6
ns n,2,1
veží,1,2
neve,1,14
zyły,48,1
burk,3,1
"agr,1,2
odzę,131,1
zy -,6,1
ešit,1,30
é fr,1,3
oty ,134,18
címe,1,7
ęć s,14,1
ź gd,2,1
áš z,1,22
m v ,1,207
ulák,1,21
 vyč,1,31
e św,88,1
lači,1,10
ma m,116,24
gawc,3,1
svěd,1,95
auzo,2,1
ni š,1,2
 bál,1,34
o ji,5,99
 ata,42,1
rv n,1,2
"ohř,1,2
wn m,3,1
ż sa,9,1
re e,2,1
"smr,1,4
t gł,77,1
aj ż,9,1
obou,1,90
w 10,4,1
ig b,2,1
wokó,35,1
k ło,2,1
sza ,486,1
růvo,1,9
f si,1,2
dchl,1,4
k ož,1,3
 4 c,2,1
ź gr,4,1
ří k,1,12
tórę,7,1
eky ,1,5
hn m,6,3
ci š,1,2
tř v,1,2
 jád,1,6
spag,10,1
o 2 ,3,1
lo b,2,126
42-5,2,1
o vs,1,12
 šet,1,3
 gró,8,3
całb,2,1
má 2,1,2
rwam,4,1
cová,1,10
a ří,1,26
nu a,4,30
w ri,4,1
ł ab,6,1
škám,1,4
unio,6,1
zcić,2,1
anej,33,4
oruh,1,3
dro ,9,6
'cli,2,1
– do,2,1
kovi,1,44
kwiw,2,1
budl,2,2
zyto,30,1
 bag,47,1
k śl,4,1
dziń,2,1
ář a,1,2
ru o,4,3
vu u,1,8
týra,1,7
mkam,2,1
usmí,1,28
dvůr,1,2
undu,27,7
s pě,1,3
mnom,2,1
b dz,5,1
týsk,1,12
há j,1,8
 tzr,2,1
ny z,338,26
rąbc,2,1
ráka,1,2
upus,1,8
lei ,10,1
ż ko,25,1
iłow,32,1
o or,18,3
kt h,1,2
ięci,274,1
dajn,7,4
o zą,3,1
ač p,1,6
rabš,1,6
ubli,87,36
s he,2,3
šumí,1,2
"sło,33,1
cena,63,42
ynki,44,1
hůře,1,3
úsud,1,3
ranu,17,21
kory,11,4
ń as,2,1
i oh,2,8
míčk,1,2
ěšov,1,3
ędu ,36,1
ecin,19,1
ávné,1,18
" to,2,1
h sk,20,7
ażda,40,1
ji'e,2,1
va l,1,5
aj s,273,8
ieun,8,1
álíš,1,3
ką/p,2,1
mraž,1,2
buen,3,2
dstą,3,1
eď m,1,43
vozň,1,2
yjeż,74,1
hł s,2,1
0 ks,6,1
ály ,1,18
 bed,4,5
zimy,109,4
kolu,25,36
jald,3,1
lszc,10,1
lę ś,3,1
týrc,1,2
mę u,3,1
c in,12,2
"rac,9,1
ulpi,3,1
ł wł,24,1
koen,2,1
ráno,1,151
ofie,8,5
ą"zn,2,1
rs n,1,2
ł bę,2,1
o ug,11,1
c pu,3,1
děln,1,9
ě uš,1,2
věz ,1,19
či a,1,9
hn c,3,1
as e,3,2
iczó,2,1
hase,2,1
ak 4,1,2
retu,2,7
kl d,1,11
orhe,2,1
řadu,1,4
elon,125,3
rynk,13,1
án v,1,15
rční,1,3
erki,24,1
lwad,2,1
ám z,1,83
ekne,1,75
oohl,1,2
tkat,1,29
zenn,18,1
name,2,74
víli,1,39
salo,13,2
""ee,2,1
ačíc,1,4
zén ,1,3
knec,1,2
ołką,2,1
eżne,14,1
misy,3,1
anor,5,5
ynia,45,1
ikan,11,13
ć oz,2,1
j rę,30,1
rd p,2,1
biot,6,4
ksow,19,1
hnov,1,11
ry e,4,1
o-ws,3,1
orwe,12,1
mu 1,3,1
aś u,2,1
ózňu,1,4
ziwi,117,1
lepo,1,3
šnic,1,4
p te,10,1
lapi,2,3
etam,11,1
časů,1,2
že e,1,8
ytnu,1,2
"jem,12,1
y ho,17,49
á 24,1,2
cku ,19,6
ł el,3,1
šeke,1,4
zely,1,5
bbie,2,1
slos,1,6
pozn,220,88
achů,1,2
v pl,1,39
ztod,1,2
dlý ,1,7
zegl,20,1
"prą,2,1
n uz,2,1
i""t,1,2
płej,8,1
up a,1,2
bku ,4,1
ciwu,9,1
"jsm,1,35
ějně,1,2
dżab,2,1
k ia,2,1
z dy,9,1
heno,1,2
ycal,2,1
ývoz,1,2
dół ,9,1
ło ó,2,1
pecy,4,1
utkw,3,1
war ,8,1
novu,1,82
""re,2,2
 uja,20,2
ílí ,1,4
l bů,1,2
jean,7,5
urs ,17,2
neak,1,2
mrtí,1,10
okut,3,7
edió,2,1
ziwa,26,1
rápk,1,2
prób,547,1
"vši,1,92
n gw,2,1
dróż,256,1
jmí ,1,3
oć c,6,1
celé,1,69
diné,1,13
rw o,4,1
avrt,1,3
árni,1,6
w ja,186,1
 „św,3,1
d ta,44,22
m es,2,3
lhot,1,20
ač b,1,2
mích,1,30
ře s,1,33
ż se,9,1
heri,2,1
 ing,4,2
afna,2,1
íky ,1,34
agře,1,2
é ci,1,5
rzuj,1,4
e ks,116,1
root,2,1
ásu ,1,3
“ vy,1,2
niwa,3,1
rzel,136,1
ehču,1,2
wamp,2,1
tímt,1,14
otom,15,34
lagu,3,1
ogy ,1,5
ed č,1,5
"i j,2,2
m vš,1,73
mů n,1,3
gren,9,1
ękna,110,1
kcí ,1,3
á an,1,15
mans,15,4
kuńc,3,1
n” b,2,1
zadu,3,9
dł t,43,1
 róż,253,1
vovi,1,2
 imm,2,1
że y,3,1
krás,1,188
klan,71,1
revo,1,8
m śc,8,1
żony,107,1
í vz,1,11
"uvi,1,11
 obv,1,78
l pl,5,34
k co,16,7
illo,7,1
iweg,56,1
ty"",3,1
ntel,103,13
uská,1,3
enčí,1,6
pyst,2,1
j oc,36,1
élní,1,2
ázla,1,3
ec i,14,1
b na,28,4
ná ř,1,5
zlaf,5,1
ěň t,1,2
"w n,28,1
dzę ,374,1
obat,5,2
á k ,1,8
tle ,4,3
vlás,1,3
jí ",1,3
í po,1,254
aná ,1,32
ádž ,1,2
ń lu,6,1
íbí ,1,138
nefr,1,2
