Trigram,spanish,portugese
 pa,1,2
mpã,1,11
0hr,2,2
… e,1,3
вор,1,3
iho,8,6
htl,2,1
 ee,52,1
é –,2,3
emz,2,1
aza,1387,114
 79,2,3
jop,3,1
ear,1103,379
92-,1,2
n-l,3,4
koa,18,1
doj,7,1
ei ,1,4
 hs,2,2
15 ,62,89
hõe,1,251
erv,1831,2331
nre,103,15
º 2,1,2
 cm,12,7
¡sh,4,1
r-h,1,11
¡a ,65,1
-' ,1,3
gõe,1,18
ldá,1,4
nál,40,44
obô,1,58
(te,1,4
i-é,1,2
jli,4,1
 ky,29,19
ørg,1,2
pel,3391,5153
6ª ,1,2
n g,2384,38
ämm,1,2
bóh,1,3
iye,5,1
i –,1,7
elô,1,4
uca,522,932
lér,76,62
¿ro,10,1
gtb,3,1
n8 ,2,1
t-3,2,2
esz,1,5
420,5,1
oy",3,1
 ur,232,312
ebó,3,1
íel,3,2
ivu,18,44
kbu,2,2
-io,1,2
s ​,5,10
á g,130,233
"ty,1,3
 9x,2,3
uni,3177,2440
mid,2012,1364
eh",2,1
llí,1059,1
''n,1,9
hup,78,33
l 5,23,2
"xa,2,2
qr ,1,5
cúl,37,4
núr,1,2
osk,1,8
eçõ,1,64
irâ,1,15
abú,11,5
""ô,1,2
 √3,2,1
rav,905,2863
l"",60,51
1 (,2,2
tam,6179,8300
t-t,3,4
jeb,4,4
ncf,3,1
ynb,1,3
zoc,2,1
231,1,2
 vs,2,3
ceñ,25,1
osn,23,15
smá,10,19
stf,1,5
"er,258,138
+ é,1,4
 (t,5,10
 «s,50,1
nõe,1,7
iǎo,9,1
lôm,1,148
nfú,2,4
g-s,2,1
álm,28,1
o ​,1,2
ão",4,63
mm ,2,4
é é,35,55
¡tá,2,1
» y,5,1
e ú,73,58
imr,3,2
¡af,4,1
mh ,3,2
mut,118,56
ehi,20,1
ru”,1,2
co:,8,4
kur,105,21
de ,1,5
grú,21,1
l -,3,11
nés,723,38
os(,1,3
3 s,8,3
-d’,1,2
tto,13,12
-¿c,6,1
l-i,1,2
ori,4096,2450
kyr,2,1
ldó,5,1
s e,25079,18493
 vô,1,42
z t,193,436
” n,2,2
yl ,3,1
psó,12,1
'o ,1,4
k-9,2,2
ls:,2,1
vip,2,1
“au,1,3
p y,5,1
sfê,1,4
izã,1,2
 -2,1,2
/pa,2,1
sok,1,2
" –,1,4
"bá,6,2
"sv,1,2
ps",4,1
yve,2,1
ebé,448,20
lvâ,1,3
 –d,5,1
ra！,1,2
—le,4,1
a¿p,2,1
exf,5,1
tja,2,2
p i,3,3
ipo,1381,893
nsc,231,382
ubr,667,318
icí,718,165
irô,1,16
nid,2966,1308
 ¡u,26,1
l-‘,2,1
trá,903,2054
ery,10,10
f5 ,2,2
mpa,2156,1883
(15,1,2
moc,425,284
 ti,2,1
– p,2,13
¿su,51,1
nam,931,1548
; ¡,11,1
íd ,3,3
120,14,10
∈ c,1,2
ká ,3,1
 bo,4785,9649
“¡p,2,1
kdi,2,1
+5 ,2,1
móg,17,1
n e,23928,305
 το,1,2
t” ,5,1
ilu,260,228
fúc,1,4
rê ,2,33
ry ,5687,4529
how,24,114
sn',2,1
gáu,1,2
pân,1,71
$4 ,2,1
(“b,1,2
utu,445,799
ont,10423,17554
"¿o,31,1
19),3,3
 '+,1,3
e i,6001,8288
5 k,7,5
"¿5,2,1
ífr,18,1
l"e,3,1
iuí,1,2
pán,83,1
esú,89,1
sgr,158,54
iog,42,54
waf,4,3
dcl,1,2
er”,1,5
xho,4,1
eu-,1,246
s ‒,1,2
dês,1,250
éol,2,10
s: ,332,358
tú»,2,1
e' ,4,5
dū",1,3
j p,12,1
 bp,1,2
hao,10,3
！vi,1,2
afú,1,2
eós,4,1
oa:,1,3
«ĉo,2,1
a l,26986,7206
»"l,18,1
she,38,27
míl,2,864
ego,2335,2735
7 9,2,1
céu,22,510
 jí,2,1
¡za,4,1
alé,143,368
ara,20263,32493
–pu,2,1
- 4,2,2
yám,16,1
i"l,2,1
rgô,1,3
inç,1,51
evó,288,15
ve-,1,143
¡¡v,2,1
dír,13,1
—de,4,1
ueu,1,46
¡pe,169,1
ê é,1,1862
aws,1,2
llô,2,4
icã,1,3
tzo,1,4
"nú,1,5
ánk,2,1
rm ,2,1
] q,2,1
 zw,2,1
déa,4,1
(pb,2,2
rdr,2,1
gra,7478,6148
del,11019,5406
ruo,63,6
̉¿p,2,1
145,3,5
miy,5,5
tet,102,266
ueb,1193,721
lo”,1,6
5gb,1,2
4) ,3,5
bum,39,47
t"n,2,1
mpi,1586,207
bmw,2,2
at&,2,2
rrg,2,1
(“g,1,2
örl,1,2
rev,1576,4029
n ó,31,1
«¿é,2,1
óke,5,1
nró,5,1
«¡v,3,1
¡ok,3,1
lúa,5,1
odr,2031,73
“tr,1,5
ézc,6,1
80-,1,2
—¿d,2,1
ui:,1,3
vsk,4,6
ão/,1,2
""ἀ,1,2
ssã,3,833
rdâ,1,25
 “v,2,17
igm,52,45
”te,1,2
ōch,12,1
e@e,2,1
5 7,2,1
get,141,180
e f,1,2
dag,23,45
phe,14,11
ow ,16,60
l’a,1,4
eço,1,2415
muñ,158,1
aed,19,5
εxi,1,2
íaa,3,1
api,568,820
njo,33,161
oso,5768,3065
nco,4555,6204
828,1,3
914,4,4
jói,1,9
nãs,1,7
xox,1,2
l-u,2,1
"εx,1,2
rcl,2,1
 36,9,14
htu,2,1
xqu,28,1
ê f,1,1638
？vo,1,2
ána,10,3
k' ,1,2
hsk,2,1
” “,3,19
ibí,249,1
(ma,1,8
bbo,5,2
e o,4262,17153
irt,781,180
fít,2,2
rkk,7,4
k ",2,2
eu/,1,4
i-j,2,1
18 ,45,50
íet,2,3
253,2,1
zly,2,1
¿ib,5,1
taf,66,54
ta ,1,3
ben,1018,635
lcó,69,1
8 s,3,3
zek,2,1
gol,621,462
” c,2,1
bt),2,1
vir,1544,2734
ó u,2328,177
hín,20,4
gob,485,2
 ha,38148,1924
7:0,7,5
npê,1,2
—pe,2,1
j e,66,2
íqu,123,83
» e,14,1
iz-,1,90
¡fu,36,1
ão),1,8
ncê,1,2541
úli,2,60
pe-,1,76
hã;,1,8
ígi,9,100
¿ru,3,1
nii,2,1
; -,1,2
 “p,4,23
meó,3,1
85%,1,2
´ ),2,1
iyo,3,2
n -,6,1
dna,7,32
ñéi,6,1
uí-,1,16
91-,1,2
aoc,1,7
 6 ,43,35
úcl,15,19
l e,1,2
gít,25,18
u -,2,5
k-o,2,2
:32,1,2
lbú,1,3
tjo,2,1
inq,124,359
yoz,1,2
//w,2,2
eoe,5,1
lgi,72,38
<ad,2,1
mǐn,2,1
rse,3817,204
cí ,330,2
ram,2602,12532
d v,133,8
x n,5,4
ilã,1,42
4 é,1,3
229,1,4
xxx,5,6
 / ,8,2534
lev,4496,2980
líg,142,8
«k»,2,1
jôo,1,2
urâ,1,6
1; ,2,2
o"m,2,1
wne,1,6
nda,4210,8434
és',2,1
4:0,5,2
ccl,2,3
(si,3,2
łoc,1,2
sot,2162,94
-89,1,2
gnè,2,1
[la,2,1
saš,2,1
" n,15,55
dyb,1,2
irv,348,39
dut,3,392
oav,17,41
012,13,21
cuy,169,1
nkf,1,5
hãe,1,2
cc6,1,2
？eu,1,2
éad,1,2
alw,2,1
ca:,12,11
m's,1,2
süb,1,2
625,2,3
ndú,13,52
iém,7,2
10),3,4
u 5,1,7
ua1,2,1
ruq,2,47
is),1,15
 ai,494,3256
po:,5,7
 is,498,13720
aom,10,21
íds,3,1
zad,1302,835
umo,639,628
(18,4,5
9-1,2,2
uéd,117,1
202,27,45
''b,1,2
rps,2,1
59 ,3,3
 fê,1,27
u) ,1,2
á d,1,2
ónn,2,1
rop,3022,1625
- é,1,9
y 3,14,1
ürd,2,1
-ha,4,2
rne,1048,1028
kém,16,24
tew,4,2
cúr,4,22
sle,42,20
nis,1053,1363
zge,1,3
t o,10,8
jid,42,6
te',2,4
907,5,2
iol,408,617
uhu,1,2
aré,2358,45
só;,1,3
 h1,4,4
cou,17,2521
­el,2,1
tsi,2,3
va ,1,2
 ok,41,76
εla,1,2
 f8,2,3
¿ir,23,1
uem,377,5211
ioq,8,5
+ y,3,1
«de,7,3
úrc,2,1
ô e,1,43
vé ,230,1
ecd,3,1
tíq,1,4
-sc,3,1
á-d,1,2
nyo,4,2
rsó,14,24
buh,9,1
 po,2,6
hé ,135,1
egi,1273,636
"ex,86,125
 h ,2,4
4 e,10,13
bnu,1,2
as’,2,1
ock,89,56
ján,44,1
o-j,1,2
"eg,5,5
a58,3,2
lál,15,1
ryu,3,1
fni,1,8
agn,170,153
les,8228,8108
922,2,7
rak,12,4
ié ,147,1
 4o,2,1
ong,928,1390
k z,3,2
mab,636,12
léa,3,1
utn,3,4
s'',3,7
° c,2,1
yck,2,12
dáb,14,2
hoj,310,3466
fsu,2,1
15g,1,2
as ,4,2
oru,77,120
twu,2,1
ües,14,4
iég,2,1
l ô,1,19
aei,1,2
yd ,2,4
g-f,2,2
"—¿,11,1
mpl,3321,2093
-2 ,1,2
aer,685,244
sén,20,1
uta,1539,2418
x) ,1,3
¡or,6,1
vós,1,498
opi,1863,631
an",10,6
béi,561,2
c é,1,23
iya,13,8
pôn,1,13
¿p',2,1
mêm,1,2
alo,2627,2247
ufõ,1,4
z» ,2,1
ęst,3,1
 “a,5,22
 aç,1,526
cku,1,8
puñ,129,1
rmú,1,7
5 p,26,18
eñe,46,1
 oz,10,6
ft ,9,11
ry¿,2,1
jeá,2,2
mo;,7,14
'ch,3,1
lçõ,1,9
zhu,4,5
g —,1,2
6 1,2,1
sh-,3,1
bry,2,6
ozó,26,1
bun,158,139
jím,2,1
たの？,2,1
iva,1628,1922
 ps,1,2
lju,2,1
 y ,2,1
r t,1,2
dág,1,9
"«p,5,1
reç,1,876
kow,1,3
ége,5,1
omú,290,1
(3 ,2,1
aay,2,1
dul,539,245
mei,12,3531
mef,1,3
"es,3873,2833
oaf,5,1
de-,6,343
" y,81,1
nár,14,801
‎"c,1,2
7 q,2,2
nçu,2,2
 ne,1,2
'"t,1,3
89 ,3,10
eó ,311,1
– i,1,7
uti,799,842
«pu,6,1
 «a,19,2
hh»,2,1
lê;,1,2
 θ ,1,2
oto,1920,2137
a-b,4,16
hóq,1,11
oph,4,10
 é ,1,2
co”,2,2
 & ,3,3
tón,814,20
ooi,2,2
ás ,15661,1665
wbo,4,3
ê c,1,1582
-16,1,2
«só,2,1
miú,1,21
roí,14,45
bít,1,6
jin,49,23
élu,104,93
u w,3,16
enr,97,198
çã ,1,136
teç,1,198
g);,2,1
¿kl,2,1
ná",1,2
hut,6,75
ó 7,2,1
392,1,2
oic,48,39
 (¿,3,1
упи,1,3
nct,6,4
dug,7,4
té ,1468,2384
úrg,8,28
bét,18,22
au»,2,1
"lê,1,4
tui,128,212
m/t,1,2
úne,83,45
eny,4,1
toñ,153,1
te ,44667,34668
cnt,2,2
 -v,3,1
67p,2,1
¿ex,38,1
iõe,1,244
afl,63,62
 x',1,2
czo,1,2
rmi,3852,3417
ük”,2,2
—¡m,2,1
à b,1,178
noa,34,22
gby,13,2
wip,3,1
u r,550,1415
mch,6,9
rkn,1,2
sé;,2,1
 60,36,39
): ,1,2
""7,1,2
ayi,29,1
ppo,8,5
yog,42,15
yco,2,1
jou,2,316
póm,3,1
 d5,4,3
"8 ,1,2
ckb,2,5
wsk,1,3
ssõ,1,111
sak,113,43
exi,1124,1389
d h,202,3
 vá,81,1164
epl,66,62
 ht,3,6
inh,61,19327
-fr,4,9
énm,3,1
píd,44,9
fta,20,18
 (`,1,2
áme,130,1
uty,2,1
 xy,4,3
nfl,316,228
uvu,7,4
ngu,2371,5061
56 ,7,5
 tu,8613,5029
 —¡,2,1
x7 ,2,1
ahn,2,2
ígu,44,25
4 c,7,7
hiv,127,5
lee,1207,47
uuq,1,2
 fn,1,2
j”;,1,2
aso,2042,1068
huh,1,2
kut,4,4
uuh,1,2
ne',1,2
vih,5,1
ué ,11794,7
dui,6,2
z a,646,1008
brô,1,4
a q,10947,11115
iqü,1,2
°f),1,2
r ô,1,2
“-i,1,5
 râ,3,3
pc ,5,4
25%,3,3
hec,1944,3073
e q,13769,12334
ḥli,2,1
rjo,3,3
-pu,4,1
ânc,1,900
(kc,2,2
—¡q,2,1
610,2,1
m"é,1,2
ewe,2,2
-¿q,13,1
fo;,3,3
sek,2,2
42 ,6,10
ott,40,24
guf,2,2
​​c,2,1
m-e,1,15
liõ,1,2
pós,172,604
nnã,1,2
d¹7,1,2
¡¿p,4,1
415,2,4
z h,230,113
sâm,1,2
066,2,2
peó,186,1
'pe,6,2
grí,160,19
 ew,4,2
zmo,8,1
hli,2,1
kri,2,7
suo,2,59
oyo,149,11
agá,83,14
00℃,2,1
7-1,2,1
oau,5,3
fo",1,2
hyp,1,2
32g,1,2
»"¿,25,1
¡ci,34,1
jud,202,3925
dás,34,29
ufo,5,40
ió:,41,1
;"",2,3
aar,47,100
ksi,11,3
aoí,5,3
é g,99,397
akl,3,2
40 ,52,52
rmê,1,56
ut:,2,1
héx,1,2
azə,2,1
) é,1,17
-e”,1,2
 'n,5,4
»"v,3,1
zen,14,1972
$ 7,3,4
a/b,1,2
jic,46,4
pit,1004,1046
 ti,16712,7539
ncú,2,1
u –,1,2
ósa,4,1
–¿y,2,1
gpt,2,2
–ne,2,1
pns,1,2
có:,5,11
cma,3,2
ra»,4,1
tá-,1,359
únd,3,1
13ª,1,2
eiz,3,3
ry",7,5
tié,53,11
¡sw,2,1
giê,1,20
- z,1,2
 om,62,152
ómn,7,1
boo,108,206
tao,35,7
wi-,5,4
"it,8,5
uma,1626,26719
18h,1,6
pêr,1,2
chh,1,4
ncõ,1,2
u u,31,3576
vá ,11,575
ze:,1,2
hrs,2,2
 md,1,2
 vo,5152,29513
iza,2008,1853
rld,3,5
cóh,2,1
13",2,2
""₫,2,1
épc,1,2
xei,3,241
ß n,1,3
ivá,15,4
eag,5,50
cçõ,1,21
yst,9,13
ubm,20,71
ezo,189,82
zcó,6,1
rí ,159,1
 ñu,3,1
omç,1,2
ão-,1,74
 (l,6,1
"th,17,20
lon,1053,1518
rdô,1,2
dik,2,1
bué,1,2
ide,4603,3680
lã ,1,14
á y,93,1
ib:,2,1
pên,1,37
 “y,2,1
aúd,13,346
imu,81,134
eum,63,24
kot,5,4
çat,1,2
ódu,4,4
io¿,2,1
“vi,1,3
oac,28,3
931,2,2
u é,55,384
ôs-,1,16
nui,45,82
rui,906,703
la',3,1
b-g,2,1
ó 3,15,2
ozu,3,1
uib,11,8
" a,39,36
uáv,1,2
éyi,3,1
л] ,1,3
«cr,9,1
duj,237,1
ua",4,7
nkl,6,5
lo-,3,44
¡sa,78,1
 (-,1,2
ça',1,3
uné,16,5
oiá,2,5
esn,127,47
/ q,1,149
p o,2,4
ia),8,15
277,2,2
 hy,8,12
sa-,2,70
 gu,8216,1438
ê à,1,13
aba,18132,5969
h v,16,11
obo,418,206
2k ,2,1
elã,1,36
iju,14,2
fór,45,80
ríg,55,60
nn ,48,40
jiq,1,3
 $3,8,3
isw,2,3
app,51,135
ogy,1,2
'en,2,5
jús,3,1
oek,2,2
té:,3,1
bea,49,59
afó,19,4
tp:,3,2
é 9,1,4
¿li,10,1
idw,1,2
)"e,2,3
¡cé,3,1
5n8,2,1
)vo,1,2
 ¿¡,2,1
38%,1,2
rhí,2,1
rfs,2,1
6 ÷,2,1
co(,2,1
 fc,1,22
yoo,2,1
9 c,4,6
igí,35,15
1n1,2,1
zod,8,10
k o,14,8
fal,1462,9206
​se,2,2
82%,2,2
il/,1,2
map,162,159
şit,2,2
loo,5,4
rúb,6,10
f-1,2,2
gsh,2,1
025,1,3
ёна,1,2
« ¿,2,1
va ,4306,12727
"zú,2,1
dús,1,51
so”,3,2
zbe,5,6
 vh,1,2
beb,1706,1743
 ár,934,1115
º a,1,16
 xa,4,372
147,2,2
370,1,5
 sô,1,7
cóf,7,12
83 ,6,3
rxe,1,5
uéa,6,1
exá,66,4
uél,153,2
int,7043,7228
atõ,1,3
eá ,3,1
ijá,3,26
 —o,2,1
ser,7515,11496
 óm,13,1
hlo,2,3
raã,1,103
nhí,3,2
aná,95,115
he ,2,1
roë,3,2
nua,317,651
nút,121,113
díl,10,1
fex,1,2
cio,8850,5010
cuí,26,2
hip,198,156
71 ,3,5
vó",1,2
yib,27,1
íno,5,18
617,1,2
s v,6306,7393
«あ→,4,1
juz,155,2
oño,185,1
or',2,2
hê",1,3
bao,9,3
¨el,2,1
név,1,17
kad,8,4
106,3,2
pio,871,646
hi»,2,1
2²⁰,1,2
-ga,1,9
«¡p,9,1
×' ,1,2
zil,16,33
xod,4,7
tíl,9,5
53 ,2,4
xev,1,2
fc ,1,19
ún ,2676,1
yes,229,3
a 5,40,41
a a,20807,24901
6-4,1,2
imú,2,1
8 g,2,3
râl,3,1
rsu,49,62
oró,229,12
ñín,9,1
-¡m,2,1
tói,3,1
i ú,53,6
90s,2,1
 ´é,1,2
di:,3,3
p c,3,4
ht',1,3
nié,18,1
efú,1,11
-¡e,2,1
d s,517,21
sik,2,1
je”,1,3
yha,1,2
 rí,747,46
ken,216,159
igu,2586,783
ncl,795,487
903,1,3
fóm,4,1
y l,3495,54
edá,25,9
:"s,1,2
1ª ,1,5
abê,1,9
8 +,2,1
cél,103,102
za;,8,4
ixl,3,1
7 a,30,36
i+d,2,1
zea,1,21
 og,19,22
 kl,17,9
foq,5,8
ry»,2,1
944,1,5
890,1,4
mpõ,1,44
03:,1,2
lgo,3398,1877
dys,1,3
k f,5,19
tán,3035,3
az:,1,5
álv,17,22
lho,2,12081
0pm,2,1
6 2,1,2
icô,1,7
¿bo,5,1
ba:,32,13
erô,1,13
vla,5,8
fes,1501,2819
 tw,35,44
uny,3,3
lin,1514,1869
d"",31,9
'ga,1,2
 g4,4,4
acõ,1,10
órg,44,65
baú,20,18
ábo,4,5
60º,2,2
 a2,2,2
pne,3,65
vag,158,436
14",3,2
gêm,1,90
u ",7,44
úrn,2,2
rgg,2,1
udy,28,19
 51,5,4
exe,16,745
ráb,73,33
nlo,107,46
ioh,2,1
 (1,14,26
c i,1,6
1+i,1,2
yur,11,10
¿va,325,1
amí,61,885
"— ,2,16
ijo,4038,543
im:,1,15
(de,5,13
reá,12,1
usê,1,67
rdu,178,98
vío,40,1
"hí,2,2
7 m,8,10
uka,10,5
nye,37,1
lço,1,42
l ¿,3,1
5:3,3,3
 oá,1,5
ar“,1,2
y o,856,134
buc,106,26
ty",2,6
 0°,2,1
bya,8,1
_ ",1,3
os/,1,2
gnó,29,18
par,25348,34834
ryo,4,6
o v,1,3
"vu,19,2
acá,341,24
3 -,1,2
me:,2,13
lím,142,79
7@g,2,1
y c,3331,210
búh,29,1
iāp,2,1
arb,345,320
ifí,1097,1439
-46,2,1
lmí,5,2
álc,39,143
urê,1,10
náb,10,4
ía',4,1
hís,152,2
wki,5,2
zá ,182,1
lra,1,3
t “,2,1
zt ,3,2
»"a,6,1
gat,1439,1285
edk,1,2
rdê,1,26
‘ma,2,1
''l,1,2
xou,1,687
hco,2,1
""b,119,123
ysk,9,5
"öl,1,4
/qu,1,2
r-i,2,1
; ",2,5
dia,4924,7559
níc,7,180
cte,293,146
69°,2,1
384,1,2
ohé,2,1
"ah,285,88
guk,1,2
lmé,4,3
- á,1,2
end,14915,14498
fut,416,807
rbô,1,4
k2-,2,1
ó"",2,9
nor,1695,1624
ssj,1,2
i-h,2,12
o"u,2,1
4 a,31,37
órj,2,1
 (7,1,2
mo],2,1
t: ,3,1
dúz,2,47
a ☭,2,1
vær,2,1
go:,14,13
6 y,10,1
«¡n,18,1
ejs,1,2
s p,1,2
a ',15,17
 sb,1,2
imé,41,9
«ib,2,1
mpâ,1,2
n ñ,4,1
q e,2,3
t'),1,2
lyu,6,2
ági,329,413
5ad,2,1
atl,114,116
ghc,2,1
sel,547,834
«es,37,2
dob,198,168
4 -,2,3
oo;,1,2
ã t,1,100
sre,1,11
egl,634,34
xez,1,4
rgi,237,534
ôqu,1,40
1 p,8,17
nío,7,1
"et,4,2
950,12,13
uée,3,1
355,1,2
oz;,5,3
lmo,341,729
) b,1,2
com,21201,44141
pid,2593,1506
ggy,2,2
ed",3,2
a-y,2,1
e"¿,3,1
: 3,1,3
a"s,2,2
«¡g,4,1
— ¿,10,1
júz,3,1
vív,17,12
pca,4,7
6 s,6,7
 (q,3,12
lve,1834,1407
271,2,3
nên,1,16
 xo,2,3
péd,4,35
pas,6836,5080
160,14,8
fem,97,71
lun,951,651
epi,424,172
"“d,1,2
ft-,2,1
v s,4,4
rdp,1,2
a ",310,263
ešo,1,2
tsj,4,1
63 ,1,3
drá,1054,23
nvé,3,87
ot',1,2
fof,1,73
l-z,3,1
ldo,183,40
""í,1,2
n ¿,3,1
en",20,7
 ​​,9,13
toa,136,157
eoa,1,9
mo:,12,20
 vu,1803,93
lp ,2,1
gge,8,8
 oa,10,6
-lu,2,25
r c,1,2
agé,12,50
(jp,2,1
lüd,2,2
noá,6,6
ord,2371,3059
jef,307,16
​ u,2,1
píc,12,26
é m,1171,5097
 cn,10,11
ob”,1,2
ngy,1,3
m x,1,54
 ¿ ,3,1
juv,106,91
 ow,1,3
ja",7,2
o >,2,1
pex,6,1
ª d,1,4
júb,3,6
 “s,1,21
:as,1,2
ófe,8,1
syl,2,4
htr,2,2
ad/,1,3
 _ ,1,4
ajo,3979,261
2:3,69,86
ã q,1,42
7h4,1,3
lcd,2,2
uey,45,2
47 ,8,8
- à,1,2
had,492,1478
ën ,3,2
cag,118,87
ócu,3,307
xer,2,418
ñón,43,1
é-g,1,2
"-s,3,1
ué",3,1
cir,3209,243
 eé,1,2
ry:,2,2
"at,31,215
) +,1,2
uéi,27,11
-sí,4,2
b"",5,7
2-5,2,4
 δh,1,3
ló:,1,3
awa,67,35
ube,422,684
bíg,1,16
han,1810,1572
u ñ,2,1
 z ,3,2
rsi,790,363
'-',1,4
 βο,1,2
cd-,1,2
494,1,2
óct,19,3
gái,79,1
éne,163,6
ujã,1,5
hoh,2,1
 ah,3117,16
¡aa,4,1
rku,5,7
“¡t,2,1
 (",5,5
 0 ,6,5
e-v,2,13
tíg,28,52
gem,138,2308
íbl,170,89
n t,8414,99
oov,1,2
crâ,1,38
w à,1,2
nçã,1,1099
¡he,33,1
+ s,1,2
 lr,1,2
260,3,4
ulé,13,3
0 /,1,2
-tr,2,15
iân,1,40
loé,1,5
mya,2,1
pát,105,211
sí",16,1
105,2,5
lwa,2,2
unz,12,5
 vo,1,2
nva,110,89
mio,249,164
 d’,1,7
 cá,843,220
oía,38,18
“nó,1,2
e d,25183,26073
f d,7,5
úvo,1,11
áli,289,1297
nd ,32,33
naã,1,35
y a,5902,308
emk,2,3
rd",1,6
d: ,16,1
 m',1,2
mv ,2,3
s¡d,2,1
ruñ,34,1
om»,2,1
u ​,1,2
ned,310,26
r d,1,2
d j,23,2
oaa,1,4
op-,2,1
tih,8,1
n-",3,1
@"",2,2
- s,9,53
ceq,5,1
lck,7,1
à u,1,38
11 ,29,39
diá,67,156
luê,1,76
uxu,1,22
919,1,2
né ,258,18
etf,2,10
d z,2,1
irb,5,7
zed,1,29
»¡m,2,1
n r,2,1
oñó,17,1
—re,11,1
g7 ,3,2
 za,783,310
pis,833,667
r i,992,6816
= {,1,2
o ó,11,161
’al,1,2
thb,1,2
uix,2,3
vér,24,48
)"l,2,1
ls),1,2
á 1,7,23
zó ,1103,1
elf,78,24
á; ,9,9
kna,1,2
max,12,20
(na,2,6
ius,38,32
bor,1211,1569
óte,52,72
yac,41,1
coh,231,3
iup,2,1
gig,98,111
ú v,38,5
ión,14824,2
rgu,547,3416
"-ú,3,1
az ,1,2
wöh,2,2
tai,67,636
dùt,2,1
—va,2,1
ás;,7,5
érd,173,1
quí,4468,303
gú ,2,1
 @ ,2,1
fsh,2,1
urd,143,189
60%,4,5
o“-,1,2
dli,1,2
15-,1,2
guy,3,5
¿pa,228,1
pix,3,2
"fm,1,2
nca,4787,5851
ías,4591,9
aig,144,7
ni",3,2
opp,11,82
z u,122,532
gii,1,2
é/c,1,2
'qu,3,2
so:,14,16
ão:,1,62
 63,2,4
stê,1,140
sê-,1,3
 já,1,3876
3/1,1,2
lví,169,4
(vo,2,1
«¿a,14,1
u-c,1,4
nic,2323,2025
r- ,3,1
(it,2,2
chê,1,10
ã a,1,121
aml,14,13
céi,69,2
5 x,4,4
yru,2,3
 s9,1,2
ork,201,115
a π,1,4
​ á,2,1
d i,105,2
i 1,6,8
374,1,2
uwa,5,3
e-t,3,43
amú,7,5
mné,1,4
gni,608,583
0:4,4,3
1 v,2,2
""0,1,3
xyc,2,1
águ,44,1708
r >,1,3
óbo,2,13
” v,1,2
-50,2,1
«c+,2,1
vaj,118,1
'×',1,2
«¡d,5,1
 cí,86,78
yet,10,1
¡re,64,1
dpo,1,5
énf,14,1
iah,4,8
a' ,7,4
iue,2,5
 d7,3,3
(ih,2,2
gne,32,26
s​​,1,2
"às,1,111
s y,4368,6
ohí,42,1
mús,841,1097
y w,9,3
sañ,7,1
íl ,3,1
"fú,2,1
ly ,56,52
"pu,336,26
ño—,2,1
/gu,1,2
22%,3,2
cy ,95,62
e g,7471,2714
cê ,1,33059
 d6,5,6
8 j,2,1
) /,1,6
970,6,10
ijõ,1,3
l m,7852,339
emó,70,225
ití,57,53
20h,1,4
on-,2,5
oft,63,53
hue,1008,8
hué,73,1
2ª ,1,2
mle,12,13
z f,63,207
h b,6,4
héc,5,4
ivê,1,33
ĉi ,1,3
bti,31,34
om-,1,8
sgó,13,1
lk ,7,2
hiq,47,7
lf ,43,5
pus,1085,182
odi,1368,860
"¿e,559,1
nó ,1067,21
a ḥ,2,1
jur,193,214
930,3,6
ea",2,4
"ay,164,2
r —,5,25
áre,126,197
bta,1,2
clo,134,111
o/b,1,2
"16,2,1
ní",2,1
лся,1,2
imp,4536,4792
méd,634,1243
 eó,14,5
do–,2,1
f n,4,11
ês",1,7
o 6,14,5
"b ,1,2
ínu,1,15
do:,76,101
c c,16,12
do”,2,2
otá,23,98
ebú,2,1
dañ,342,1
b: ,3,1
ojé,11,6
ctú,81,1
çei,1,3
""v,110,622
 r8,1,2
: 9,2,2
-u”,1,2
adr,4931,1390
"¿g,4,1
s +,3,1
sa ,2,1
sép,36,3
 3d,4,2
sra,134,203
smi,232,195
bio,819,431
prú,1,2
"¡á,3,1
coy,11,1
’ a,3,1
eám,8,1
‎qu,1,2
“os,1,2
nsh,9,6
dst,1,4
órd,87,48
y “,2,1
qab,2,1
920,5,6
 * ,2,1
kró,2,1
niá,4,2
aub,2,1
rbu,75,54
áqu,238,271
tos,8865,9151
-eh,1,2
očk,2,1
"10,3,1
mij,6,21
ylv,2,4
váz,2,1
x a,7,13
317,1,2
sêm,1,3
"<<,1,2
rnő,2,1
) h,5,4
fēn,5,1
é-b,1,2
paç,1,332
à f,1,356
ñac,8,1
gef,2,2
ach,1225,8456
 up,1,3
hón,31,1
ogg,11,3
alk,8,3
íad,4,32
: „,2,1
b5),3,3
ou",4,12
auf,14,23
neá,8,2
utb,55,1
0 i,5,48
h (,2,1
hoo,4,6
pow,8,9
oro,1121,1614
nsv,2,2
aán,8,1
u v,835,3362
aps,39,20
913,1,3
ebm,2,1
buj,259,5
gáñ,6,1
jés,2,3
dá;,1,2
eds,5,3
nan,1382,911
 lo,33611,3496
huu,3,2
21),3,6
onú,1,47
5 5,1,2
» q,3,2
 n6,2,2
-13,1,2
enu,997,175
rs",1,7
dá),1,2
vôl,1,26
: c,45,67
-ah,2,1
 b6,4,4
à i,1,206
ry),1,2
iox,6,2
h1 ,3,3
¡eo,2,1
a;",1,3
 óp,46,49
sow,1,2
m"m,2,1
gut,9,5
 pd,4,4
5 -,3,6
rsé,14,1
