Bigram,polish,czech
"/,3,1
lt,100,48
gü,2,1
ms,106,57
3:,3,2
ż ,3463,1
 é,2,4
dm,256,266
ýc,1,475
zę,4667,1
«z,2,1
)m,2,1
fo,732,400
wś,124,1
 r,9563,3531
78,3,2
 š,1,1558
żl,289,1
08,5,1
rl,164,51
°c,2,2
oż,3887,1
ow,18376,13
‘ ,1,5
w ,12144,18
„t,30,6
nś,2,1
ñe,2,1
k',7,1
mř,1,226
eú,1,22
 ​,23,1
zf,1,4
 „,170,58
44,4,1
m',76,1
65,9,2
ąk,141,1
ps,987,581
hž,1,5
vp,1,11
jm,735,458
"r,319,246
év,2,46
cá,2,11
ty,8081,1277
žů,1,17
aź,218,1
yż,456,1
fé,1,20
áj,1,105
ěž,1,474
(x,2,1
ďk,1,3
„l,6,1
yď,1,3
ún,1,15
íť,1,2
uę,4,1
tl,93,911
“p,1,2
/",3,1
;/,2,1
”m,5,1
8 ,48,7
ex,21,185
“u,1,4
s’,2,1
50,80,10
|n,2,1
żd,769,1
4-,2,1
y;,11,4
„a,15,7
"ź,9,1
-j,6,1
f(,2,1
 ",289,144
rč,1,168
ox,7,2
če,2,2398
ěl,1,6136
á ,9,4069
ďů,1,2
ňk,1,12
zi,20595,665
jn,742,320
-a,7,2
(o,6,2
ia,17762,101
zw,2911,1
”b,2,1
ęs,776,1
eó,4,1
q ,2,2
z;,2,1
sf,57,22
ź ,760,1
en,11526,7973
šť,1,242
cl,12,12
íc,1,1194
vé,1,1534
tú,1,2
o",11,6
db,184,124
oň,1,49
čr,1,2
(l,1,2
"h,78,139
mę,766,1
uz,647,583
74,3,2
;b,2,1
ńc,1479,1
oi,1669,17
ra,18920,6347
eą,4,1
m:,7,2
mz,3,8
nů,1,128
ňu,1,64
eq,2,2
y«,1,2
ąp,228,1
ús,1,101
kż,49,1
kz,2,6
hy,495,787
1 ,34,5
7%,2,1
iv,12,1288
ę”,8,1
nz,33,69
íp,1,77
/ę,2,1
vh,1,14
k",11,2
wu,589,4
íd,2,657
39,5,2
žd,1,823
yň,1,6
‚k,1,2
í:,1,6
ćc,12,1
yy,5,1
nj,28,3
(e,5,1
ž ,1,2929
 x,21,4
-7,2,1
)z,2,1
 /,6,1
ōa,2,1
rf,33,16
bt,2,57
53,2,4
ux,6,9
ed,10583,4195
ěh,1,283
”a,2,1
r',3,1
çi,3,1
pą,32,1
íb,1,662
 ó,56,5
 ć,64,1
a ,2,1
dą,512,1
 p,42498,17078
km,11,26
ńs,1128,1
02,6,1
ńk,8,1
řu,1,43
iť,1,4
tg,2,3
y ,27762,7260
ok,4775,2073
 i,6671,489
ťu,1,8
:3,42,30
c-,2,1
żz,2,1
eť,1,7
rů,1,229
bš,1,13
ęd,3327,1
cc,8,2
¡a,1,2
zł,2634,1
nę,1216,1
pf,4,1
t',3,4
aď,1,100
43,2,1
žu,1,444
šů,1,4
bj,39,97
dk,1163,311
8%,2,1
z ,14268,1299
żs,294,1
t-,10,1
zl,338,463
pę,353,1
gy,4,26
"l,369,177
ís,1,714
š-,1,14
‚r,1,3
zů,1,311
 :,2,1
ii,923,247
i”,8,1
ky,47,2169
]",2,1
ë ,3,1
řc,1,4
oá,1,2
rň,1,2
iú,1,4
u”,7,2
06,8,1
śk,2,1
kk,96,16
t",6,5
lu,4084,2200
ćd,52,1
žb,1,24
¨d,1,2
dč,1,85
ěj,1,1077
fů,1,3
mp,742,81
łę,387,1
xf,3,1
šč,1,2
oź,31,1
 –,38,6
jw,218,1
/h,6,1
ůd,1,20
uć,73,1
t:,4,2
47,6,2
šk,1,711
xc,2,1
mś,101,1
tů,1,154
é;,1,2
c#,2,1
cj,2341,1
kv,1,404
dę,1794,1
ig,1269,82
ft,36,13
čá,1,106
h’,1,2
17,13,3
n”,6,1
źc,80,1
„(,2,1
sa,4321,1053
­k,2,1
 4,48,8
że,9988,1
xe,1,7
"-,15,4
”",34,3
sã,2,2
61,4,3
ło,8843,1
oď,1,60
sé,2,6
mą,329,1
e·,2,1
 я,1,3
ř ,1,117
ať,1,131
řo,1,51
49,6,3
ií,1,36
ąt,951,1
25,12,6
's,8,2
fk,5,3
-f,9,4
p1,2,1
ým,2,719
áb,1,146
mf,16,3
pé,2,27
lę,1070,1
óź,577,1
rm,704,319
hw,454,1
žr,1,29
mň,1,6
mó,4273,13
żr,4,1
ě‘,1,3
)c,2,1
o/,2,1
l:,2,9
27,5,1
cr,14,7
"ś,71,1
r-,2,1
wn,2645,7
-1,7,2
l ,921,11450
 ĝ,2,1
 ž,1,2
29,3,2
”z,2,1
jv,1,62
bl,1245,986
zý,1,17
-t,12,1
a),10,4
łc,129,1
nÿ,2,1
24,10,2
ůř,1,5
:c,2,2
éč,1,39
ę:,3,1
‚p,1,3
öd,2,1
íš,1,1495
vr,2,729
kí,1,2
lm,281,604
/m,5,1
 d,12,1
ýv,1,292
wą,620,1
éz,1,35
gb,14,3
y“,1,3
ną,2476,1
g",2,1
rv,17,530
(j,5,3
 -,271,81
łr,3,1
"s,1218,587
źk,2,1
zň,1,6
‎k,1,2
š",1,2
lı,2,1
oť,1,15
'c,2,3
áš,1,1330
žk,1,323
23,8,1
úp,1,76
 7,35,5
“i,1,2
po,27033,9506
 р,1,3
ác,2,1003
0:,10,3
 f,1943,895
rē,1,2
i“,1,3
źb,18,1
dy,5827,3382
ád,1,2563
m/,18,1
oč,1,1927
yc,5995,1660
yi,28,8
hé,2,163
zj,982,70
„ś,3,1
6%,2,1
ýt,1,592
97,23,3
kl,1183,2462
p-,4,2
mh,4,56
wa,13773,17
hr,184,1119
me,2115,4176
"č,2,165
im,4309,567
7u,2,1
r ,911,479
sí,1,1750
e“,1,3
e:,19,10
ą",9,1
čo,1,135
jt,24,292
lś,8,1
„i,6,3
oc,5987,2054
e|,2,1
ňm,1,5
